,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'INSPIRE_Q_Huntington_Trestle_Baluster_Extending_Dining_Table', 29.822181040419697)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Drake_3-piece_Faux_Leather_Tray_Top_Nested_Storage_Ottoman_Bench', 4.2241374825129689)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 1.138763204023522)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 13)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 33.621567845064945)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Drake_3-piece_Faux_Leather_Tray_Top_Nested_Storage_Ottoman_Bench', 324.11111111111109)"
1,"(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 23.414894949214716)","('/home/wb/Documents/furniture/Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 1.8033552060058931)","(u'Christopher_Knight_Home_Drake_3-piece_Faux_Leather_Tray_Top_Nested_Storage_Ottoman_Bench', 0.97312376020185887)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 7)","(u'INSPIRE_Q_Huntington_Trestle_Baluster_Extending_Dining_Table', 21.434597637016488)","('/home/wb/Documents/furniture/Black_Finish_Console_Sofa_Entry_Table_with_Drawer', 25.459221879255949)"
2,"(u'Ansel_36_x_60_Trestle_Table', 21.441023846275023)","('/home/wb/Documents/furniture/South_Shore_Morgan_Storage_Cabinet', 1.5711384322678241)","(u'INSPIRE_Q_St_Ives_Lift_Top_Faux_Leather_Tufted_Storage_Bench', 0.97312376020185887)","(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 7)","(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 18.177448604775616)","('/home/wb/Documents/furniture/Cosco_Outdoor_Jamaica_4-piece_Resin_Wicker_Conversation_Set', 25.459221879255949)"
3,"(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 21.441023846275023)","('/home/wb/Documents/furniture/Yaletown_Black_Wall-mounted_Buffet', 1.4970210764462746)","(u'Jai_Ash_Sofa', 0.97312376020185887)","(u'Ansel_36_x_60_Trestle_Table', 6)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 18.087837016029205)","('/home/wb/Documents/furniture/Cosco_Wood_X-Back_Folding_Chair_2_Pack', 25.459221879255949)"
4,"(u'Ansel_Trestle_Table', 20.89987843965956)","('/home/wb/Documents/furniture/Finn_Tall_Bookcase', 1.3915596140469328)","(u'Safavieh_Cape_Cod_Black_Swivel_Storage_Accent_Table', 0.82761475761364112)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 6)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 15.683083476946429)","('/home/wb/Documents/furniture/Danbury_Metal_Contoured_Upholstered_Dining_Chair_(Set_of_2)', 25.459221879255949)"
5,"(u'Simplify_Half_Round_Console', 18.873852443798672)","('/home/wb/Documents/furniture/Hand-painted_Black_Gold_Accent_Chest', 1.3915596140469328)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 0.82761475761364112)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 6)","(u'Ansel_Trestle_Table', 15.623342417782153)","('/home/wb/Documents/furniture/Distressed_Reclaimed-look_Black_Dining_Table', 25.459221879255949)"
6,"(u'Enonville_Scalloped_3-Drawer_Console_Table', 18.873852443798672)","('/home/wb/Documents/furniture/Enonville_Scalloped_3-Drawer_Console_Table', 1.3836944122987855)","(u'Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 0.82761475761364112)","(u'Altra_Round_Espresso_End_Table', 6)","(u'Ansel_36_x_60_Trestle_Table', 15.593471888200016)","('/home/wb/Documents/furniture/Enonville_Scalloped_3-Drawer_Console_Table', 25.459221879255949)"
7,"(u'Distressed_Reclaimed-look_Black_Dining_Table', 18.873852443798672)","('/home/wb/Documents/furniture/Furniture_of_America_Marque_Functional_Black_Finish_Console_Table', 1.3622208785786154)","(u'Cosco_Outdoor_Jamaica_4-piece_Resin_Wicker_Conversation_Set', 0.73814367695071725)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 6)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 15.593471888200016)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 25.459221879255949)"
8,"(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 18.117707545611342)","('/home/wb/Documents/furniture/Monastery_Solid_Dark_Planed_Knotty_Oak_Dinette_Table', 1.3608980041784975)","(u'Wood_Leg_White_Accent_Chairs_In_White_(Set_of_2)_-_(As_Is_Item)', 0.73814367695071725)","(u'Tokyo_Drop_Leaf_Rectangle_Dining_Table', 6)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 15.503860299453603)","('/home/wb/Documents/furniture/Furniture_of_America_Marque_Functional_Black_Finish_Console_Table', 25.459221879255949)"
9,"(u'Etlan_Black_1-Drawer_Corner_Table', 16.336018168590492)","('/home/wb/Documents/furniture/Sunny_Designs_Black_Open_Shelving_Unit', 1.358623294670166)","(u'Cosco_Wood_X-Back_Folding_Chair_2_Pack', 0.73649694936747467)","(u'Ansel_Trestle_Table', 6)","(u'Altra_Round_Espresso_End_Table', 15.503860299453603)","('/home/wb/Documents/furniture/Greyson_Living_Monoco_48-inch_Round_Glass_Top_Table', 25.459221879255949)"
