,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Shaker_Series_42-inch_Double_Door_Wall_Cabinet', 27.416482833161314)","('/home/wb/Documents/furniture/Jezzebel_Double_Door_Floor_Cabinet_by_Elegant_Home_Fashions', 1.6352583969261087)","(u'Simple_Living_Glass_Sliding_Door_Stackable_Cabinet', 1.4610351125141037)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 10)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 33.60018906552445)","('/home/wb/Documents/furniture/18-inch_7.25-inch_deep_Ashley_Series_On_the_Wall_Cabinet_', 62.527843641069722)"
1,"(u'Somette_Brown_Weathered_2-door_Cabinet', 26.182206545432706)","('/home/wb/Documents/furniture/Highland_White_Double_Glass_Door_Floor_Cabinet_by_Elegant_Home_Fashions', 1.6268291235814045)","(u'Highland_White_Double_Glass_Door_Floor_Cabinet_by_Elegant_Home_Fashions', 1.3021927549880166)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/18-inch_Shaker_Series_On_the_Wall_Cabinet_', 62.527843641069722)"
2,"(u'Shaker_Series_Unfinished_Wall_Cabinet_', 26.109559210082445)","('/home/wb/Documents/furniture/Simple_Living_Glass_Sliding_Door_Stackable_Cabinet', 1.6238414951436146)","(u'Windham_Medicine_Cabinet_with_Glass_Door_by_Elegant_Home_Fashions', 1.2991374442124934)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 10)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/30-inch_Allentown_Series_On_the_Wall_Cabinet_with_6-inch_Open_Shelf_3.5-inch_Deep_Inside', 62.527843641069722)"
3,"(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/DarLiving_Windowpane_Media_Cabinet_with_Sliding_Glass_Doors', 1.5626509965985913)","(u'Highland_White_Double_Glass_Door_Wall_Cabinet_by_Elegant_Home_Fashions', 1.2991374442124934)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/36-inch_Shaker_Series_On_the_Wall_Cabinet_2.5-inches_Deep', 62.527843641069722)"
4,"(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/WYNDENHALL_Hayes_Single_Door_Bathroom_Wall_Cabinet_in_White', 1.5376911544853316)","(u'Glass_2_Door_Tall_Cabinet_with_Drawer', 1.2991374442124934)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/48-inch_Ashley_Series_On_the_Wall_Cabinet', 62.527843641069722)"
5,"(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/Windham_Medicine_Cabinet_with_Glass_Door_by_Elegant_Home_Fashions', 1.5360485980888181)","(u'Windham_Wall_Cabinet_with_Two_Glass_Doors_by_Elegant_Home_Fashions', 1.285870505975631)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/48-inch_Recessed_in_the_Wall_Baldwin_Medicine_Storage_Cabinet', 62.527843641069722)"
6,"(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/Shaker_Series_42-inch_Double_Door_Wall_Cabinet', 1.5252809749426413)","(u'Ashley_Series_48x7.25-inch_Unfinished_Wood_Wall_Cabinet', 1.2341607969568114)","(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/Andrew_Series_Right_Hand_Double_Offset_On_the_Wall_Cabinet_(3.5_inches_deep)', 62.527843641069722)"
7,"(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/Windham_Wall_Cabinet_with_Two_Glass_Doors_by_Elegant_Home_Fashions', 1.5244246533160482)","(u'Shaker_Series_24-inch_Wall-mount_Cabinet_with_Open_Shelf', 1.2341607969568114)","(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/Architectural_Wall_Cabinet,_Whitewashed_Finish', 62.527843641069722)"
8,"(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/Jezzebel_Wall_Cabinet__by_Elegant_Home_Fashions', 1.5195044474182655)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 1.2135214480851086)","(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/Ashley_42-inch_Wood_Wall-mount_Cabinet', 62.527843641069722)"
9,"(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 25.328117055621735)","('/home/wb/Documents/furniture/Shaker_Series_48-inch_Natural_Finish_On_The_Wall_Cabinet', 1.5053905418227003)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 1.2135214480851086)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 10)","(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 27.25797955603347)","('/home/wb/Documents/furniture/Ashley_48-inch_Wall-mount_Cabinet_with_Shelf', 62.527843641069722)"
