,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'6-shelf_Bookcase', 15.30058843661741)","('/home/wb/Documents/furniture/Ferrara_Beige_Leather_Nailhead_Sofa', 1.8998106464707756)","(u'6-shelf_Bookcase', 1.41390913389372)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 7)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 24.52440759100663)","('/home/wb/Documents/furniture/6-shelf_Bookcase', 282.22592495408026)"
1,"(u'Altra_Vermont_Farmhouse_6-Cube_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Home_Styles_Cottage_Oak_Dining_Table', 1.7956802354849402)","(u'Fantasy_Fields_Sunny_Safari_Bookshelf', 1.1469593844283517)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 5)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Fantasy_Fields_Sunny_Safari_Bookshelf', 282.22592495408026)"
2,"(u'Structure_Bocca_4-shelf_Wide_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/6-shelf_Bookcase', 1.7661239999148279)","(u'4-shelf_Bookcase', 0.9538162286263675)","(u'Altra_Elements_White_Bookcase_by_Cosco', 5)","(u'Altra_Elements_White_Bookcase_by_Cosco', 17.517433993576162)","('/home/wb/Documents/furniture/10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 27.407766990291261)"
3,"(u'School_House_Tall_Vertical_Bookcase_White', 14.451883044700335)","('/home/wb/Documents/furniture/_Luca_Home_Cappuccino_Italian_Leather_Loveseat', 1.7416278261193758)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 0.87576203878598735)","(u'Altra_5_Shelf_Bookcase', 5)","(u'Altra_5_Shelf_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Accentuations_by_Manhattan_Comfort_Sophisticated_Navarra_""Z""_Shoe_Closet_with_8_Shelves', 27.407766990291261)"
4,"(u'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 14.451883044700335)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 1.6947244244287185)","(u'Altra_Elements_White_Bookcase_by_Cosco', 0.87576203878598735)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 5)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Altra_Heartland_Cabinetry_Keystone_30-inch_Short_Wall_Cabinet_W3015', 27.407766990291261)"
5,"(u'Classic_Mission_60-inch_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Accentuations_by_Manhattan_Comfort_Sophisticated_Navarra_""Z""_Shoe_Closet_with_8_Shelves', 1.6648237025424448)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 0.87576203878598735)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 5)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Badger_Basket_Sleigh-style_White_Changing_Table', 27.407766990291261)"
6,"(u'Allen_2-drawer_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Retro_Eames_Style_Wood_Accent_Chair_with_Arms', 1.6535968755404289)","(u'Altra_5_Shelf_Bookcase', 0.87576203878598735)","(u'Inval_Espresso_Bookcase_Hutch', 5)","(u'Inval_Espresso_Bookcase_Hutch', 17.517433993576162)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 27.407766990291261)"
7,"(u'Mission-style_Solid_Wood_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Signature_Design_by_Ashley_Honnally_Floral_Accent_Chair', 1.6535968755404289)","(u'Inval_Espresso_Bookcase_Hutch', 0.87576203878598735)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 4)","(u'6-shelf_Bookcase', 16.691551021764447)","('/home/wb/Documents/furniture/Baxton_Studio_Rhea_Modern_and_Contemporary_Twin_Size_Fabric_Upholstered_Headboard_', 27.407766990291261)"
8,"(u'Hollydale_36-inch_Chestnut_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/School_House_Tall_Vertical_Bookcase_White', 1.6088225113426382)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 0.80645260106764094)","(u'6-shelf_Bookcase', 4)","(u'Serta_RTA_Martinique_Collection_61-inch_Navarre_Beige_Fabric_Loveseat_Sofa', 14.526866136500974)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Mayfield_Fabric_Dining_Chair_(Set_of_2)', 27.407766990291261)"
9,"(u'Renate_Grey_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Teton_Home_1_AF-067_Wooden_Cabinet', 1.5936759005935694)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 0.80645260106764094)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 4)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 14.01394719486093)","('/home/wb/Documents/furniture/Easy_Living_Swiss_Power_Reclining_Loveseat_with_USB', 27.407766990291261)"
