,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u""Children's_2-shelf_White_Bookcase"", 29.601835688920502)","(""/home/wb/Documents/furniture/Children's_2-shelf_White_Bookcase"", 1.8680302854581408)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 1.7786036491770729)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 11)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 32.94877619825616)","('/home/wb/Documents/furniture/Altra_5_Shelf_Black_Cherry_Bookcase', 461.01538847739812)"
1,"(u'Altra_Kids_4-shelf_Bookcase', 25.141349311424847)","('/home/wb/Documents/furniture/Scandinavian_Lifestyle_Santo_Bookcase', 1.736114184128646)","(u'Altra_5_Shelf_Bookcase', 1.7786036491770729)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 10)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 30.58317643570257)","('/home/wb/Documents/furniture/Altra_5_Shelf_Bookcase', 461.01538847739812)"
2,"(u'Altra_5_Shelf_Black_Cherry_Bookcase', 22.621535064175561)","('/home/wb/Documents/furniture/Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 1.662306096595239)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 1.7092942114587266)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 9)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 28.450892105770308)","('/home/wb/Documents/furniture/Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 461.01538847739812)"
3,"(u'Altra_5_Shelf_Bookcase', 22.621535064175561)","('/home/wb/Documents/furniture/Series_C_Corsa_5-shelf_Bookcase', 1.6508026226562353)","(u'South_Shore_Step_One_Shelf_Bookcase', 1.5956910319591571)","(u'Altra_5_Shelf_Bookcase', 9)","(u'Altra_5_Shelf_Bookcase', 28.450892105770308)","('/home/wb/Documents/furniture/Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 461.01538847739812)"
4,"(u'Classic_Mission_60-inch_Bookcase', 22.33759291738339)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 1.6176883767424424)","(u'Series_C_Corsa_5-shelf_Bookcase', 1.5603880330648967)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 9)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 27.553792013354595)","('/home/wb/Documents/furniture/Altra_Kids_4-shelf_Bookcase', 461.01538847739812)"
5,"(u'Classic_Mission_48-inch_Bookcase', 22.33759291738339)","('/home/wb/Documents/furniture/School_House_Tall_Vertical_Bookcase_White', 1.6088225113426382)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 1.4471803755987374)","(u'Altra_Elements_White_Bookcase_by_Cosco', 8)","(u'Altra_Elements_White_Bookcase_by_Cosco', 25.04470250840999)","('/home/wb/Documents/furniture/Bookcase_with_Doors', 461.01538847739812)"
6,"(u'Scandinavian_Lifestyle_Santo_Bookcase', 21.855636864473574)","('/home/wb/Documents/furniture/Maxon_3-tier_Shelf_Console_Table', 1.5968940643447656)","(u'Series_C_5-shelf_Double_Bookcase', 1.4079117577985372)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 8)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 25.04470250840999)","(""/home/wb/Documents/furniture/Children's_2-shelf_White_Bookcase"", 461.01538847739812)"
7,"(u'Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 21.360952718144386)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_40-inch_Bookcase', 1.5946812780354302)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 1.3931307189018409)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 8)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 24.947405307055078)","('/home/wb/Documents/furniture/Furniture_of_America_Tier_Display_Cabinet_Bookcase', 461.01538847739812)"
8,"(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 21.160126290997781)","('/home/wb/Documents/furniture/Home_Office_4-Shelf_Bookcase', 1.5809975877482254)","(u'Altra_Elements_White_Bookcase_by_Cosco', 1.3893194045308679)","(u'Series_C_Corsa_5-shelf_Bookcase', 7)","(u'Series_C_Corsa_5-shelf_Bookcase', 20.449521214569216)","('/home/wb/Documents/furniture/Series_C_5-shelf_Double_Bookcase', 461.01538847739812)"
9,"(u'TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 21.055161513886084)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 1.5657371923143972)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 1.3893194045308679)","(u'2-shelf_Bookcase', 6)","(u'Inval_Espresso_Bookcase_Hutch', 20.02652349852077)","('/home/wb/Documents/furniture/Series_C_Corsa_5-shelf_Bookcase', 461.01538847739812)"
10,"(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 20.786375312467584)","('/home/wb/Documents/furniture/Furniture_of_America_Tier_Display_Cabinet_Bookcase', 1.5614248224500611)","(u'Lorell_Four-shelf_Bookcase_for_Ascent_and_Concordia_Series', 1.3672448772629129)","(u'South_Shore_Step_One_Shelf_Bookcase', 6)","(u'Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server', 19.540037491746197)","('/home/wb/Documents/furniture/Altra_Blackburn_Storage_Bookcase', 98.47487559761926)"
11,"(u'Altra_Elements_White_Bookcase_by_Cosco', 19.215345466815243)","('/home/wb/Documents/furniture/4-door_Wood_Storage_Cabinet', 1.5566173951660041)","(u'South_Shore_Chocolate_Axess_5-shelf_Narrow_Bookcase', 1.2695885692104274)","(u""Children's_2-shelf_White_Bookcase"", 6)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 19.03212620475015)","('/home/wb/Documents/furniture/Modern_Espresso_Bookcase', 98.47487559761926)"
12,"(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 19.215345466815243)","('/home/wb/Documents/furniture/Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 1.5477276860351261)","(u'South_Shore_Pure_Black_Axess_5-shelf_Narrow_Bookcase', 1.2695885692104274)","(u'Inval_Espresso_Bookcase_Hutch', 6)","(u'South_Shore_Step_One_Shelf_Bookcase', 18.837531802040317)","('/home/wb/Documents/furniture/Montego_5-tier_Bookcase', 98.47487559761926)"
13,"(u'Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 19.051880470432117)","('/home/wb/Documents/furniture/Altra_Kids_4-shelf_Bookcase', 1.5447627681273384)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 1.2315328784094213)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 6)","(u""Children's_2-shelf_White_Bookcase"", 18.837531802040317)","('/home/wb/Documents/furniture/Scandinavian_Lifestyle_Santo_Bookcase', 98.47487559761926)"
14,"(u'Structure_Bocca_4-shelf_Wide_Bookcase', 19.051880470432117)","('/home/wb/Documents/furniture/2-shelf_Bookcase', 1.5428982855143629)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 1.2306467512468453)","(u'Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server', 6)","(u'2-shelf_Bookcase', 18.037728910979524)","('/home/wb/Documents/furniture/South_Shore_Pure_Black_Axess_5-shelf_Narrow_Bookcase', 98.47487559761926)"
15,"(u'School_House_Tall_Vertical_Bookcase_White', 19.051880470432117)","('/home/wb/Documents/furniture/Javier_Modern_Zig_Zag_Display_Shelving_(High)', 1.5261479219490268)","(u'2-shelf_Bookcase', 1.2306467512468453)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 6)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 18.037728910979524)","('/home/wb/Documents/furniture/South_Shore_Step_One_Shelf_Bookcase', 98.47487559761926)"
16,"(u'Espresso_Bookcase_and_Cabinet', 19.051880470432117)","('/home/wb/Documents/furniture/BBF_Collection_66-inch_5-shelf_Narrow_Wooden_Bookcase', 1.5136290185142258)","(u'Furniture_of_America_Arthurie_Espresso_Enclosed_5-Shelf_Shoe_Cabinet', 1.2147686019965529)","(u'Furniture_of_America_Contemporary_Key_Performance_Multi-storage_File_Cabinet', 6)","(u'Furniture_of_America_Contemporary_Key_Performance_Multi-storage_File_Cabinet', 17.74583730691478)","('/home/wb/Documents/furniture/2-shelf_Bookcase', 48.207347152978215)"
17,"(u'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 19.051880470432117)","(""/home/wb/Documents/furniture/Home_Styles_'The_Orleans'_5-tier_Multi-function_Marble_Shelves"", 1.4996996248825003)","(u'Furniture_of_America_Contemporary_Key_Performance_Multi-storage_File_Cabinet', 1.2107320792816927)","(u'Lorell_Four-shelf_Bookcase_for_Ascent_and_Concordia_Series', 6)","(u'Lorell_Four-shelf_Bookcase_for_Ascent_and_Concordia_Series', 16.946034415853987)","('/home/wb/Documents/furniture/3-shelf_Bookshelf_Cherry', 48.207347152978215)"
18,"(u'BBF_Collection_66-inch_5-shelf_Narrow_Wooden_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Classic_Mission_60-inch_Bookcase', 1.4928342348819057)","(u'Inval_Espresso_Bookcase_Hutch', 1.162519127539658)","(u'Classic_Mission_60-inch_Bookcase', 5)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 16.425739498450625)","('/home/wb/Documents/furniture/42-inch_Honey_Pine_Bookcase', 48.207347152978215)"
19,"(u'Ferndale_Espresso_Three-shelf_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Bookcase_with_Doors', 1.4857646567320875)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 1.1421696628437452)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 5)","(u'Classic_Mission_60-inch_Bookcase', 15.528639406034916)","('/home/wb/Documents/furniture/6-shelf_Bookcase', 48.207347152978215)"
20,"(u'Everett_Espresso_Slant-back_Shaker_Door_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 1.4830894688938407)","(u'Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server', 1.1381978726520994)","(u'TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 5)","(u'Classic_Mission_48-inch_Bookcase', 15.528639406034916)","('/home/wb/Documents/furniture/Altra_5-Shelf_Resort_Cherry_Bookcase', 48.207347152978215)"
21,"(u'Element_Tall_Narrow_5-shelf_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server', 1.4774218393053848)","(u'Montego_5-tier_Bookcase', 1.1063736301481701)","(u'Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 5)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 15.528639406034916)","('/home/wb/Documents/furniture/Altra_Black_Forest_Glass_Door_Bookcase', 48.207347152978215)"
22,"(u'Fair_Haven_Wood_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Furniture_of_America_Nara_Contemporary_6-Shelf_Tiered_Open_Bookcase', 1.4736144742695785)","(u'South_Shore_Pure_White_Axess_5-shelf_Bookcase', 1.0764454134084436)","(u'Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 5)","(u'Altra_Kids_4-shelf_Bookcase', 15.43134220468)","('/home/wb/Documents/furniture/Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 48.207347152978215)"
23,"(u'Structure_Bocca_5-shelf_Wide_Bookcase', 18.89666838293093)","('/home/wb/Documents/furniture/Structure_Bocca_5-shelf_Narrow_Bookcase', 1.4691553883065944)","(u'INSPIRE_Q_Barnstone_Cornice_Double_Shelving_Bookcase', 1.0186275131523319)","(u'Altra_Kids_4-shelf_Bookcase', 5)","(u'Series_C_5-shelf_Double_Bookcase', 15.43134220468)","('/home/wb/Documents/furniture/Altra_Elements_White_Bookcase_by_Cosco', 48.207347152978215)"
24,"(u'Homestar_3-Shelf_Filing_Bookshelf', 18.89666838293093)","('/home/wb/Documents/furniture/Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 1.4668345931916167)","(u'Fantasy_Fields_Sunny_Safari_Bookshelf', 1.0186275131523319)","(u'Classic_Espresso_48-inch_Bookshelf', 5)","(u'Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 14.534242112264291)","('/home/wb/Documents/furniture/Altra_Inspired_Cherry_Glass_Door_Bookcase', 48.207347152978215)"
25,"(u'Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 18.689718932929349)","('/home/wb/Documents/furniture/Structure_Bocca_4-shelf_Narrow_Bookcase', 1.4560184967616154)","(u'Somme_Rustic_Metal_Frame_6-tier_Bookshelf_Media_Tower', 1.0038464742556357)","(u'Series_C_5-shelf_Double_Bookcase', 5)","(u'TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 14.339647709554463)","('/home/wb/Documents/furniture/Altra_Transform_Expandable_Bookcase', 48.207347152978215)"
26,"(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 17.851016150087439)","('/home/wb/Documents/furniture/Modern_Espresso_Bookcase', 1.4558746495859483)","(u'Fantasy_Fields_Knights_and_Dragon_Bookshelf', 1.0038464742556357)","(u'Classic_Mission_48-inch_Bookcase', 5)","(u'Montego_5-tier_Bookcase', 13.916649993506017)","('/home/wb/Documents/furniture/BBF_Collection_66-inch_5-shelf_Narrow_Wooden_Bookcase', 48.207347152978215)"
27,"(u'Series_C_Corsa_5-shelf_Bookcase', 17.714958601021301)","('/home/wb/Documents/furniture/Series_C_5-shelf_Double_Bookcase', 1.4544138539399594)","(u'WYNDENHALL_Normandy_Ladder_Shelf_Bookcase', 1.0038464742556357)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 5)","(u'Altra_White_Kitchen_Microwave_Cart', 13.624758389441272)","(""/home/wb/Documents/furniture/Bush_Furniture_'Aero'_Glass_Top_2-door_Curio_Bookcase"", 48.207347152978215)"
28,"(u'South_Shore_Step_One_Shelf_Bookcase', 17.267737485203625)","('/home/wb/Documents/furniture/WYNDENHALL_Normandy_Ladder_Shelf_Bookcase', 1.454261977790295)","(u'Structure_Bocca_3-shelf_Wide_Bookcase', 1.0038464742556357)","(u""Simple_Living_Kids'_Four-tier_Shelf"", 4)","(u'Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 13.539844818493668)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 48.207347152978215)"
29,"(u'Bookcase_with_Doors', 17.267737485203625)","('/home/wb/Documents/furniture/Altra_5-Shelf_Resort_Cherry_Bookcase', 1.4497243423809207)","(u'Structure_Bocca_3-shelf_Narrow_Bookcase', 1.0038464742556357)","(u'Fantasy_Fields_Knights_and_Dragon_Bookshelf', 4)","(u'Classic_Espresso_48-inch_Bookshelf', 13.539844818493668)","('/home/wb/Documents/furniture/Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 48.207347152978215)"
