,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Wood_Chair_with_Hemp_Seat', 25.674390276546745)","('/home/wb/Documents/furniture/HomePop_Elegant_Parson_Dining_Chair', 1.5901422296239307)","(u'HomePop_Elegant_Parson_Dining_Chair', 1.3466636913176897)","(u'HomePop_Elegant_Parson_Dining_Chair', 14)","(u'HomePop_Elegant_Parson_Dining_Chair', 27.12321809878198)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Sara_Gold_Chevron_Swoop_Dining_Chair', 15.621418271091361)"
1,"(u'HomePop_Elegant_Parson_Dining_Chair', 19.466968022764373)","('/home/wb/Documents/furniture/Sacramento_Mid-Century_Solid_Wood_Dining_Table', 1.5234904656454402)","(u'Porter_Taos_Sheesham_30-inch_Bar_Height_Dining_Chair_(India)', 1.3355844486213675)","(u'Porter_Taos_Sheesham_30-inch_Bar_Height_Dining_Chair_(India)', 13)","(u'Porter_Taos_Sheesham_30-inch_Bar_Height_Dining_Chair_(India)', 24.731231212793087)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Roland_Ivory_Leather_Dining_Chairs_(Set_of_2)', 15.621418271091361)"
2,"(u'Porter_Taos_Sheesham_30-inch_Bar_Height_Dining_Chair_(India)', 18.824073829173646)","('/home/wb/Documents/furniture/Wood_Chair_with_Hemp_Seat', 1.4772160379507577)","(u'Organic_Modern_Smoky_Teak_Dining_Chair_(India)', 1.2632907723564566)","(u'Wood_Chair_with_Hemp_Seat', 11)","(u'Organic_Modern_Smoky_Teak_Dining_Chair_(India)', 21.37634022296746)","('/home/wb/Documents/furniture/Cosco_Wood_Ladder_Back_Folding_Chair_(Set_of_2)', 15.621418271091361)"
3,"(u'Gardenia_Mid_Century_Modern_Walnut_Wood_Accent_Chair_', 18.461373664406374)","(""/home/wb/Documents/furniture/Kosas_Home_'Alicia'_72-inch_Sheesham_Wood_Dining_Table"", 1.4199603625624257)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 1.2153542289115391)","(u'Organic_Modern_Smoky_Teak_Dining_Chair_(India)', 11)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 20.413436119130726)","('/home/wb/Documents/furniture/Cosco_Wood_X-Back_Folding_Chair_2_Pack', 15.621418271091361)"
4,"(u'HomePop_Classic_Parson_Red_Gold_Damask_Fabric_Dining_Chair', 17.608858153131809)","('/home/wb/Documents/furniture/HomePop_Classic_Brown_Tan_Sage_Leaf_Fabric_Dining_Chair', 1.4170181439566771)","(u'HomePop_Classic_Brown_Tan_Sage_Leaf_Fabric_Dining_Chair', 1.1676212865508604)","(u'Timbergirl_Old_Reclaimed_Wood_and_Metal_chair_-_Set_of_2', 10)","(u'Wood_Chair_with_Hemp_Seat', 20.163346499633263)","('/home/wb/Documents/furniture/Eames_Style_White_Molded_Plastic_Side_Chair', 15.621418271091361)"
5,"(u'Sacramento_Mid-Century_Solid_Wood_Dining_Table', 17.551615717046825)","('/home/wb/Documents/furniture/HomePop_Modern_Parson_Blue_Chocolate_Damask_Diamond_Fabric_Dining_Chair', 1.413681492931163)","(u'Eames_Style_White_Molded_Plastic_Side_Chair', 1.1223079848181874)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 10)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 18.559657597729913)","('/home/wb/Documents/furniture/Edmonton_Rustic_Brown_Chair', 15.621418271091361)"
6,"(u'Organic_Modern_Smoky_Teak_Dining_Chair_(India)', 16.983348719549213)","('/home/wb/Documents/furniture/Furniture_of_America_Oskarre_Brown_Cherry_Round_Dining_Table', 1.3872879314906055)","(u'Timbergirl_Old_Reclaimed_Wood_and_Metal_chair_-_Set_of_2', 1.1143822697173373)","(u'Sacramento_Mid-Century_Solid_Wood_Dining_Table', 10)","(u'Christopher_Knight_Home_Dinah_Roll_Top_White_Fabric_Dining_Chair_(Set_of_2)', 18.48762791145726)","('/home/wb/Documents/furniture/Empire_Deco-Style_Bamboo_Folding_Chairs', 15.621418271091361)"
7,"(u'HERCULES_Series_Wood_Folding_Chair_with_Vinyl_Padded_Seat', 16.778604913730732)","('/home/wb/Documents/furniture/Furniture_of_America_Clarks_Farmhouse_Style_Dining_Chair_(Set_of_2)', 1.3520852409245592)","(u'Empire_Deco-Style_Bamboo_Folding_Chairs', 1.112403846040662)","(u'Eames_Style_White_Molded_Plastic_Side_Chair', 9)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 18.309567978232447)","('/home/wb/Documents/furniture/Furniture_of_America_Matthias_Industrial_Rustic_Pine_Upholstered_Dining_Chair_(Set_of_2)', 15.621418271091361)"
8,"(u'Furniture_of_America_Oskarre_Brown_Cherry_Round_Dining_Table', 16.401689283591953)","('/home/wb/Documents/furniture/HomePop_Teal_Chunky_Textured_Accent_Chair', 1.3449697996855989)","(u'HomePop_Modern_Parson_Blue_Chocolate_Damask_Diamond_Fabric_Dining_Chair', 1.1102835420405803)","(u'HomePop_Classic_Brown_Tan_Sage_Leaf_Fabric_Dining_Chair', 9)","(u'HomePop_Classic_Brown_Tan_Sage_Leaf_Fabric_Dining_Chair', 18.021449233141833)","('/home/wb/Documents/furniture/Helicon_Black_Wood_Folding_Chairs', 15.621418271091361)"
9,"(u'Kosas_Home_Alicia_Chair', 16.253587713702849)","('/home/wb/Documents/furniture/Aubrey_Bench', 1.3376987765954562)","(u'Vortex_Dining_Side_Chair_Natural_Wood_Leg_(Set_of_2)', 1.0331360156429179)","(u'Furniture_of_America_Clarks_Farmhouse_Style_Dining_Chair_(Set_of_2)', 9)","(u'Empire_Deco-Style_Bamboo_Folding_Chairs', 17.058545129305102)","('/home/wb/Documents/furniture/Helicon_Mahogany_Wood_Folding_Chairs', 15.621418271091361)"
