,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u""Children's_2-shelf_White_Bookcase"", 29.601835688920502)","(""/home/wb/Documents/furniture/Children's_2-shelf_White_Bookcase"", 1.8680302854581408)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 1.7786036491770729)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 11)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 32.94877619825616)","('/home/wb/Documents/furniture/Altra_5_Shelf_Black_Cherry_Bookcase', 461.01538847739812)"
1,"(u'Altra_Kids_4-shelf_Bookcase', 25.141349311424847)","('/home/wb/Documents/furniture/Scandinavian_Lifestyle_Santo_Bookcase', 1.736114184128646)","(u'Altra_5_Shelf_Bookcase', 1.7786036491770729)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 10)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 30.58317643570257)","('/home/wb/Documents/furniture/Altra_5_Shelf_Bookcase', 461.01538847739812)"
2,"(u'Altra_5_Shelf_Black_Cherry_Bookcase', 22.621535064175561)","('/home/wb/Documents/furniture/Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 1.662306096595239)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 1.7092942114587266)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 9)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 28.450892105770308)","('/home/wb/Documents/furniture/Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 461.01538847739812)"
3,"(u'Altra_5_Shelf_Bookcase', 22.621535064175561)","('/home/wb/Documents/furniture/Series_C_Corsa_5-shelf_Bookcase', 1.6508026226562353)","(u'South_Shore_Step_One_Shelf_Bookcase', 1.5956910319591571)","(u'Altra_5_Shelf_Bookcase', 9)","(u'Altra_5_Shelf_Bookcase', 28.450892105770308)","('/home/wb/Documents/furniture/Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 461.01538847739812)"
4,"(u'Classic_Mission_60-inch_Bookcase', 22.33759291738339)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 1.6176883767424424)","(u'Series_C_Corsa_5-shelf_Bookcase', 1.5603880330648967)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 9)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 27.553792013354595)","('/home/wb/Documents/furniture/Altra_Kids_4-shelf_Bookcase', 461.01538847739812)"
5,"(u'Classic_Mission_48-inch_Bookcase', 22.33759291738339)","('/home/wb/Documents/furniture/School_House_Tall_Vertical_Bookcase_White', 1.6088225113426382)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 1.4471803755987374)","(u'Altra_Elements_White_Bookcase_by_Cosco', 8)","(u'Altra_Elements_White_Bookcase_by_Cosco', 25.04470250840999)","('/home/wb/Documents/furniture/Bookcase_with_Doors', 461.01538847739812)"
6,"(u'Scandinavian_Lifestyle_Santo_Bookcase', 21.855636864473574)","('/home/wb/Documents/furniture/Maxon_3-tier_Shelf_Console_Table', 1.5968940643447656)","(u'Series_C_5-shelf_Double_Bookcase', 1.4079117577985372)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 8)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 25.04470250840999)","(""/home/wb/Documents/furniture/Children's_2-shelf_White_Bookcase"", 461.01538847739812)"
7,"(u'Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase', 21.360952718144386)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_40-inch_Bookcase', 1.5946812780354302)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 1.3931307189018409)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 8)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 24.947405307055078)","('/home/wb/Documents/furniture/Furniture_of_America_Tier_Display_Cabinet_Bookcase', 461.01538847739812)"
8,"(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 21.160126290997781)","('/home/wb/Documents/furniture/Home_Office_4-Shelf_Bookcase', 1.5809975877482254)","(u'Altra_Elements_White_Bookcase_by_Cosco', 1.3893194045308679)","(u'Series_C_Corsa_5-shelf_Bookcase', 7)","(u'Series_C_Corsa_5-shelf_Bookcase', 20.449521214569216)","('/home/wb/Documents/furniture/Series_C_5-shelf_Double_Bookcase', 461.01538847739812)"
9,"(u'TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 21.055161513886084)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black', 1.5657371923143972)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 1.3893194045308679)","(u'2-shelf_Bookcase', 6)","(u'Inval_Espresso_Bookcase_Hutch', 20.02652349852077)","('/home/wb/Documents/furniture/Series_C_Corsa_5-shelf_Bookcase', 461.01538847739812)"
