,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Hollydale_36-inch_Chestnut_Bookcase', 24.480802925130398)","('/home/wb/Documents/furniture/Hollydale_36-inch_Chestnut_Bookcase', 2.1933057282712074)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 0.87576203878598735)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 7)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 24.52440759100663)","('/home/wb/Documents/furniture/Hollydale_36-inch_Chestnut_Bookcase', 439.40258168616373)"
1,"(u'Altra_Vermont_Farmhouse_6-Cube_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Contemporary_Bombay_2-drawer_Chest', 2.0286628586343962)","(u'Inval_Espresso_Bookcase_Hutch', 0.87576203878598735)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 5)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Montecito_Dark_brown_Leather_Storage_Ottoman', 42.671641791044777)"
2,"(u'Structure_Bocca_4-shelf_Wide_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Simple_Living_Edina_Dining_Table', 2.0077187524090823)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 0.87576203878598735)","(u'Inval_Espresso_Bookcase_Hutch', 5)","(u'Inval_Espresso_Bookcase_Hutch', 17.517433993576162)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Sara_Gold_Chevron_Swoop_Dining_Chair', 42.671641791044777)"
3,"(u'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 14.451883044700335)","('/home/wb/Documents/furniture/Island_Java_Bathroom_Wall_Cabinet', 1.9876770908499306)","(u'Altra_Elements_White_Bookcase_by_Cosco', 0.87576203878598735)","(u'Altra_Elements_White_Bookcase_by_Cosco', 5)","(u'Altra_Elements_White_Bookcase_by_Cosco', 17.517433993576162)","('/home/wb/Documents/furniture/Abbyson_Living_Royal_Tufted_Wheat_Linen_Queen_Full_Headboard', 42.671641791044777)"
4,"(u'Espresso_Bookcase_and_Cabinet', 14.451883044700335)","('/home/wb/Documents/furniture/Office_Star_Products_Wood_Side_Table', 1.883329074112948)","(u'Altra_5_Shelf_Bookcase', 0.87576203878598735)","(u'Altra_5_Shelf_Bookcase', 5)","(u'Altra_5_Shelf_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Bryant_Home_Power_Reclining_Sofa', 42.671641791044777)"
5,"(u'Classic_Mission_60-inch_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Montecito_Dark_brown_Leather_Storage_Ottoman', 1.793751671092948)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 0.80645260106764094)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 5)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Jezebel_Adjustable_King_California_King_Button_Tufted_Fabric_Headboard', 42.671641791044777)"
6,"(u'Allen_2-drawer_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Sara_Gold_Chevron_Swoop_Dining_Chair', 1.7699059660785124)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 0.80645260106764094)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 5)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Tall-back_Natural_Fabric_Dining_Chair_(Set_of_2)', 42.671641791044777)"
7,"(u'Mission-style_Solid_Wood_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Edmonton_Rustic_Brown_Chair', 1.7529841147809635)","(u'Five_Tier_Mission_Style_Bookcase', 0.71708938550196488)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 4)","(u'Hollydale_36-inch_Chestnut_Bookcase', 15.980780330925732)","('/home/wb/Documents/furniture/Contemporary_Bombay_2-drawer_Chest', 42.671641791044777)"
8,"(u'Renate_Grey_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Furniture_of_America_Felicity_Rustic_Walnut_74-inch_Dining_Table', 1.7475151569244296)","(u'WYNDENHALL_Normandy_Ladder_Shelf_Bookcase', 0.71708938550196488)","(u'Hollydale_36-inch_Chestnut_Bookcase', 4)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 14.01394719486093)","('/home/wb/Documents/furniture/Cosmo_Oversize_Accent_Chair', 42.671641791044777)"
9,"(u'Classic_Mission_48-inch_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console', 1.7421286529594031)","(u'Montego_5-tier_Bookcase', 0.71708938550196488)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 4)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 14.01394719486093)","('/home/wb/Documents/furniture/Edmonton_Rustic_Brown_Chair', 42.671641791044777)"
10,"(u'School_House_Tall_Vertical_Bookcase_White', 14.451883044700335)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Knightsbridge_Rolled_Top_Tufted_Chesterfield_King_Headboard', 1.7315953598088143)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 0.71708938550196488)","(u'Altra_Vermont_Farmhouse_6-Cube_Bookcase', 3)","(u'Altra_Vermont_Farmhouse_6-Cube_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Elliya_Fabric_White_Nailheads_Parsons_Chairs_(Set_of_2)', 42.671641791044777)"
11,"(u'Adjustable_5-shelf_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Mongolia_Mango_Wood_Dining_Table', 1.7114374232630394)","(u'2-shelf_Bookcase', 0.71708938550196488)","(u'Structure_Bocca_4-shelf_Wide_Bookcase', 3)","(u'Structure_Bocca_4-shelf_Wide_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Furniture_of_America_Felicity_Rustic_Walnut_74-inch_Dining_Table', 42.671641791044777)"
12,"(u'Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Abbyson_Living_Royal_Tufted_Wheat_Linen_Queen_Full_Headboard', 1.697061821429434)","(u'Somme_Rustic_Metal_Frame_6-tier_Bookshelf_Media_Tower', 0.71708938550196488)","(u'Somme_Rustic_Metal_Frame_6-tier_Bookshelf_Media_Tower', 3)","(u'Somme_Rustic_Metal_Frame_6-tier_Bookshelf_Media_Tower', 10.510460396145698)","('/home/wb/Documents/furniture/Furniture_of_America_Matthias_Industrial_Rustic_Pine_Dining_Table', 42.671641791044777)"
13,"(u'Folding_Stackable_3-shelf_Wood_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Furniture_of_America_Matthias_Industrial_Rustic_Pine_Dining_Table', 1.697061821429434)","(u'Structure_Bocca_3-shelf_Wide_Bookcase', 0.71708938550196488)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 3)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 10.510460396145698)","('/home/wb/Documents/furniture/Furniture_of_America_Posille_Contemporary_2-piece_Fabric_Sectional_and_Chair_Set', 42.671641791044777)"
14,"(u'Altra_5_Shelf_Black_Cherry_Bookcase', 12.846118261955853)","('/home/wb/Documents/furniture/Melia_Tufted_Linen_Side_Chair_(Set_of_2)', 1.692403269667579)","(u'Furniture_of_America_Mandy_Bookcase_Room_Divider', 0.71708938550196488)","(u'Fantasy_Fields_Knights_and_Dragon_Bookshelf', 3)","(u'Fantasy_Fields_Knights_and_Dragon_Bookshelf', 10.510460396145698)","('/home/wb/Documents/furniture/Furniture_of_America_Rosille_Contemporary_Beige_Fabric_L-Shaped_Sectional', 42.671641791044777)"
15,"(u'Inval_Espresso_Bookcase_Hutch', 12.846118261955853)","('/home/wb/Documents/furniture/Parsons_Versailles_Medallion_Upholstered_Armless_Chair', 1.6743982947581384)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 0.71708938550196488)","(u'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 3)","(u'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit', 10.510460396145698)","('/home/wb/Documents/furniture/Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 42.671641791044777)"
16,"(u'Altra_Elements_White_Bookcase_by_Cosco', 12.846118261955853)","('/home/wb/Documents/furniture/Cosmo_Oversize_Accent_Chair', 1.6700478085962565)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 0.71708938550196488)","(u'Espresso_Bookcase_and_Cabinet', 3)","(u'Espresso_Bookcase_and_Cabinet', 10.510460396145698)","('/home/wb/Documents/furniture/INSPIRE_Q_Bento_Modern_Mini_Futon_Sofa_Bed', 42.671641791044777)"
17,"(u'Altra_5_Shelf_Bookcase', 12.846118261955853)","('/home/wb/Documents/furniture/Bryant_Home_Power_Reclining_Sofa', 1.6451186747845137)","(u'Montego_3-tier_Bookcase', 0.71708938550196488)","(u'Classic_Mission_60-inch_Bookcase', 3)","(u'Classic_Mission_60-inch_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Island_Java_Bathroom_Wall_Cabinet', 42.671641791044777)"
18,"(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 12.846118261955853)","('/home/wb/Documents/furniture/La_Phillippe_Reclaimed_Wood_Round_Dining_Table', 1.6257632171389949)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 0.71708938550196488)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 3)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/La_Phillippe_Reclaimed_Wood_Round_Dining_Table', 42.671641791044777)"
19,"(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 12.262203795503314)","('/home/wb/Documents/furniture/Park_Avenue_Beige_Linen_Dining_Chairs_(Set_of_2)', 1.6147146833473764)","(u'Fantasy_Fields_Knights_and_Dragon_Bookshelf', 0.71708938550196488)","(u'Allen_2-drawer_Bookcase', 3)","(u'Allen_2-drawer_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Melia_Tufted_Linen_Side_Chair_(Set_of_2)', 42.671641791044777)"
20,"(u'Bush_Furniture_Somerset_5-Shelf_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/Rouen_Bonded_Leather_Recliner_Motion_Living_Room_Set', 1.611120694976079)","(u'Structure_Bocca_3-shelf_Narrow_Bookcase', 0.71708938550196488)","(u'Structure_Bocca_3-shelf_Wide_Bookcase', 3)","(u'Structure_Bocca_3-shelf_Wide_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Modern_Twine_Curved-arm_Sofa', 42.671641791044777)"
21,"(u'Modern_Espresso_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/School_House_Tall_Vertical_Bookcase_White', 1.6088225113426382)","(u'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco', 0.71708938550196488)","(u'Furniture_of_America_Mandy_Bookcase_Room_Divider', 3)","(u'Furniture_of_America_Mandy_Bookcase_Room_Divider', 10.510460396145698)","('/home/wb/Documents/furniture/Mongolia_Mango_Wood_Dining_Table', 42.671641791044777)"
22,"(u'Ferndale_Espresso_Three-shelf_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Jezebel_Adjustable_King_California_King_Button_Tufted_Fabric_Headboard', 1.5838548236027767)","(u'Portfolio_Tevin_Gray_Velvet_Convert-a-Couch_Storage_Arm_Futon_Sofa_Sleeper', 0.62518814731693784)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 3)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 10.510460396145698)","('/home/wb/Documents/furniture/Office_Star_Products_Wood_Side_Table', 42.671641791044777)"
23,"(u'Aix_Espresso_Finish_Wooden_3_Shelves_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/angelo:HOME_Bradstreet_Damask_Turquoise_Blue_Armless_Chairs_(Set_of_2)', 1.5711384322678241)","(u'angelo:HOME_Bradstreet_Damask_Turquoise_Blue_Armless_Chairs_(Set_of_2)', 0.62518814731693784)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 3)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 10.510460396145698)","('/home/wb/Documents/furniture/Park_Avenue_Beige_Linen_Dining_Chairs_(Set_of_2)', 42.671641791044777)"
24,"(u'Structure_Bocca_5-shelf_Wide_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/Modern_Twine_Curved-arm_Sofa', 1.5361831307977893)","(u'Bryant_Home_Power_Reclining_Sofa', 0.62518814731693784)","(u'Mission-style_Solid_Wood_Bookcase', 3)","(u'Mission-style_Solid_Wood_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Parsons_Versailles_Medallion_Upholstered_Armless_Chair', 42.671641791044777)"
25,"(u'TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/Elliya_Fabric_White_Nailheads_Parsons_Chairs_(Set_of_2)', 1.5307786408225823)","(u'Furniture_of_America_Posille_Contemporary_2-piece_Fabric_Sectional_and_Chair_Set', 0.62518814731693784)","(u'Montego_5-tier_Bookcase', 3)","(u'Montego_5-tier_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Portfolio_Tevin_Gray_Velvet_Convert-a-Couch_Storage_Arm_Futon_Sofa_Sleeper', 42.671641791044777)"
26,"(u'Home_Office_4-Shelf_Bookcase', 11.010958510247875)","('/home/wb/Documents/furniture/Furniture_of_America_Rosille_Contemporary_Beige_Fabric_L-Shaped_Sectional', 1.512709717311743)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 0.62518814731693784)","(u'Montego_3-tier_Bookcase', 3)","(u'Montego_3-tier_Bookcase', 10.510460396145698)","('/home/wb/Documents/furniture/Rouen_Bonded_Leather_Recliner_Motion_Living_Room_Set', 42.671641791044777)"
