,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Baxton_Studio_Mid-Century_Masterpieces_Grey_Sofa', 18.642383066456564)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Motion_Sofa', 1.562826643236173)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 1.0546845986713138)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 10)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 27.732470677373396)","('/home/wb/Documents/furniture/10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 33.878369493754107)"
1,"(u'Patrick_Tufted_Premium_Linen_Sofa', 18.642383066456564)","('/home/wb/Documents/furniture/Sensation_Dual_Reclining_Sofa,_Camel_Tan', 1.5410034306397504)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 1.0546845986713138)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 8)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 22.185976541898718)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Ivory_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 33.878369493754107)"
2,"(u'Transitional_Burgundy_Reclining_Sofa', 16.523930445268316)","('/home/wb/Documents/furniture/Transitional_Burgundy_Reclining_Sofa', 1.490292987890306)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 1.010171908793998)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 8)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 22.185976541898718)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Taupe_Faux_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 33.878369493754107)"
3,"(u'Troy_Recliner_Sofa', 16.523930445268316)","('/home/wb/Documents/furniture/Sofab_Erin_Cafe_Almond_3-seat_Sofa', 1.4852894196183921)","(u'Modern_Twine_Curved-arm_Sofa', 1.010171908793998)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 7)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 19.412729474161377)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Lexington_Convertible_Sofa', 33.878369493754107)"
4,"(u'INSPIRE_Q_Greenwich_Tufted_Scroll_Arm_Nailhead_Beige_Chesterfield_Sofa', 16.523930445268316)","('/home/wb/Documents/furniture/Sofab_Muse_II_Three_Seat_Sofa_with_Two_Toss_Pillows', 1.4762759238911463)","(u'10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 0.93966566785914019)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 7)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 19.412729474161377)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Marquee_Black_Convertible_Sofa', 33.878369493754107)"
5,"(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 15.13817572313766)","('/home/wb/Documents/furniture/Baxton_Studio_Mid-Century_Masterpieces_Grey_Sofa', 1.4659167025900508)","(u'DHP_Dillan_Convertible_Futon', 0.93966566785914019)","(u'Modern_Twine_Curved-arm_Sofa', 6)","(u'Modern_Twine_Curved-arm_Sofa', 16.63948240642404)","('/home/wb/Documents/furniture/Baxton_Studio_Lefteris_Modern_Contemporary_Fabric_Nailheads_Trimmed_Arched_Back_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 33.878369493754107)"
6,"(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 14.212891222153868)","('/home/wb/Documents/furniture/Modern_Twine_Curved-arm_Sofa', 1.426336195478604)","(u'Furniture_of_America_Peyton_2-piece_Sofa_Sofa_Bed_and_Chair_Set', 0.8845717579353205)","(u'Serta_RTA_Natori_Collection_Tahara_Beige_73-inch_Sofa_', 6)","(u'Serta_RTA_Natori_Collection_Tahara_Beige_73-inch_Sofa_', 16.63948240642404)","('/home/wb/Documents/furniture/Baxton_Studio_Mid-Century_Masterpieces_Grey_Sofa', 33.878369493754107)"
7,"(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 14.212891222153868)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Knightsbridge_Tufted_Scroll_Arm_Chesterfield_Sofa', 1.3975644346956226)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 0.8845717579353205)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 6)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 16.63948240642404)","('/home/wb/Documents/furniture/Baxton_Studio_Paraskeve_Modern_and_Contemporary_Fabric_Curved_Notched_Corners_Sofa_Twin_Daybed_with_roll-out_Trundle_Guest_Bed', 33.878369493754107)"
8,"(u'ABBYSON_LIVING_Aspen_Taupe_Faux_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 13.800205646597714)","('/home/wb/Documents/furniture/INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 1.3965926270721727)","(u'Ralston_Bonded_Leather_Reclining_Sofa_and_Loveseat_Set', 0.8845717579353205)","(u'Yosemite_Perfect_Sit_and_Sleep_Lodge-style_Pillow_Top_Sofa_Sleeper_Bed', 6)","(u'Yosemite_Perfect_Sit_and_Sleep_Lodge-style_Pillow_Top_Sofa_Sleeper_Bed', 16.639482406424037)","('/home/wb/Documents/furniture/Bryant_Dual_Reclining_Sofa', 33.878369493754107)"
9,"(u'Bryant_Dual_Reclining_Sofa', 13.800205646597714)","('/home/wb/Documents/furniture/Linsey_Microvelvet_Reclining_Sofa_and_Loveseat', 1.3953625600719557)","(u'DHP_Dillan_Vanilla_Faux_Leather_Convertible_Futon', 0.8845717579353205)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 6)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 16.639482406424037)","('/home/wb/Documents/furniture/DHP_Dillan_Convertible_Futon', 33.878369493754107)"
