,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 17.611726848270028)","('/home/wb/Documents/furniture/School_House_Tall_Vertical_Bookcase_White', 1.6088225113426382)","(u'Inval_Espresso_Bookcase_Hutch', 1.1677594370594075)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 7)","(u'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco', 24.52440759100663)","('/home/wb/Documents/furniture/Adjustable_5-shelf_Bookcase', 23.671013742039669)"
1,"(u'Adjustable_5-shelf_Bookcase', 17.611726848270028)","('/home/wb/Documents/furniture/Scandinavian_Lifestyle_Santo_Bookcase', 1.5451840587342198)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 1.0727420642441157)","(u'Inval_Espresso_Bookcase_Hutch', 7)","(u'Inval_Espresso_Bookcase_Hutch', 20.9645363247431)","('/home/wb/Documents/furniture/Altra_5_Shelf_Black_Cherry_Bookcase', 23.671013742039669)"
2,"(u'Christopher_Knight_Home_Perth_5-Shelf_Industrial_Bookcase', 16.427833602081634)","('/home/wb/Documents/furniture/Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 1.5294073985611496)","(u'Altra_5_Shelf_Bookcase', 1.0727420642441157)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 7)","(u'Altra_Black_Forest_Glass_Door_Bookcase', 20.9645363247431)","('/home/wb/Documents/furniture/Altra_5_Shelf_Bookcase', 23.671013742039669)"
3,"(u'Inval_Espresso_Bookcase_Hutch', 16.005962065525544)","('/home/wb/Documents/furniture/Adjustable_5-shelf_Bookcase', 1.4532284645642664)","(u'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors', 0.91406941096009309)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 6)","(u'Altra_5_Shelf_Black_Cherry_Bookcase', 19.24098515915963)","('/home/wb/Documents/furniture/Altra_Blackburn_Storage_Bookcase', 23.671013742039669)"
4,"(u'Altra_5_Shelf_Black_Cherry_Bookcase', 14.569669427539322)","('/home/wb/Documents/furniture/Aix_Espresso_Finish_Wooden_3_Shelves_Bookcase', 1.449530258959657)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 0.91406941096009309)","(u'Altra_5_Shelf_Bookcase', 6)","(u'Altra_5_Shelf_Bookcase', 19.24098515915963)","('/home/wb/Documents/furniture/Altra_Transform_Expandable_Bookcase', 23.671013742039669)"
5,"(u'Altra_5_Shelf_Bookcase', 14.569669427539322)","('/home/wb/Documents/furniture/Signature_Design_by_Ashley_Porter_Large_Brown_Bookcase', 1.449530258959657)","(u'Structure_Bocca_3-shelf_Wide_Bookcase', 0.91406941096009309)","(u'Altra_Elements_White_Bookcase_by_Cosco', 5)","(u'Altra_Elements_White_Bookcase_by_Cosco', 17.517433993576162)","('/home/wb/Documents/furniture/BBF_Collection_66-inch_5-shelf_Narrow_Wooden_Bookcase', 23.671013742039669)"
6,"(u'Classic_Mission_60-inch_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Hollydale_36-inch_Chestnut_Bookcase', 1.4457905713467776)","(u'Furniture_of_America_Mandy_Bookcase_Room_Divider', 0.91406941096009309)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 5)","(u'Altra_5-Shelf_Resort_Cherry_Bookcase', 17.517433993576162)","('/home/wb/Documents/furniture/Baxton_Studio_Tilson_Dark_Brown_Modern_Bookshelf', 23.671013742039669)"
7,"(u'Structure_Bocca_4-shelf_Wide_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Structure_Bocca_4-shelf_Wide_Bookcase', 1.4349414678439414)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 0.91406941096009309)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 4)","(u'Comfort_Products_Coublo_Collection_Bookcase_', 14.01394719486093)","('/home/wb/Documents/furniture/DonnieAnn_Small_WoodVeneerMDF_Bookcase', 23.671013742039669)"
8,"(u'Allen_2-drawer_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Bolton_Four-Shelf_Industrial_Bookcase', 1.4331852128688432)","(u'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors', 0.91406941096009309)","(u'Furniture_of_America_Tier_Display_Cabinet_Bookcase', 4)","(u'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase', 14.01394719486093)","('/home/wb/Documents/furniture/Furniture_of_America_Mandy_Bookcase_Room_Divider', 23.671013742039669)"
9,"(u'Classic_Mission_48-inch_Bookcase', 14.451883044700335)","('/home/wb/Documents/furniture/Structure_Bocca_2-shelf_Narrow_Bookcase', 1.4283262284836362)","(u'WYNDENHALL_Normandy_Ladder_Shelf_Bookcase', 0.91406941096009309)","(u'Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase', 4)","(u'Trio_Narrow_3-shelf_Eco-friendly_zBoard_Bookcase_and_Storage_Shelf', 12.234011561729167)","('/home/wb/Documents/furniture/Furniture_of_America_Tier_Display_Cabinet_Bookcase', 23.671013742039669)"
