,bm25,likelyhood,pln,simple,tfidf,unigram
20,"(u'ABBYSON_LIVING_Signature_Convertible_Sofa', 13.507972640368443)","('/home/wb/Documents/furniture/Hand-painted_Black_Gold_Accent_Chest', 1.3915596140469328)","(u'Anolon_Advanced_Bronze_Collection_Nonstick_11-piece_Cookware_Set', 0.74454914125059013)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 5)","(u'DHP_Westwood_Mahogany_Wood_Convertible_Sofa_Sleeper', 13.8662353386867)","('/home/wb/Documents/furniture/Bennett_Black_Leather_Reclining_Sofa', 29.734436058026873)"
21,"(u'Madison_Reclining_Sofa_and_Loveseat_Set', 13.299234778776109)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 1.3834269392100074)","(u'Republic_Design_House_Archer_Grey_Tufted_Upholstered_Headboard-Bench_Collection', 0.74454914125059013)","(u'ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 5)","(u'TRIBECCA_HOME_Knightsbridge_Tufted_Scroll_Arm_Chesterfield_Sofa', 13.8662353386867)","('/home/wb/Documents/furniture/Black_Bonded_Leather_Reclining_Sofa', 29.734436058026873)"
22,"(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 13.194785267966134)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 1.3743133233551681)","(u'Republic_Design_House_Peyton_Ivory_Tufted_Upholstered_Headboard-Bench_Collection', 0.74454914125059013)","(u'DHP_Westwood_Mahogany_Wood_Convertible_Sofa_Sleeper', 5)","(u'White_Reclining_Sofa', 13.706835517107097)","('/home/wb/Documents/furniture/Bryant_Home_Power_Reclining_Sofa', 29.734436058026873)"
23,"(u'Finn_Tall_Bookcase', 12.778808758993387)","('/home/wb/Documents/furniture/Sunny_Designs_Black_Open_Shelving_Unit', 1.358623294670166)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 0.74114339701950538)","(u'TRIBECCA_HOME_Knightsbridge_Tufted_Scroll_Arm_Chesterfield_Sofa', 5)","(u'ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 13.706835517107097)","('/home/wb/Documents/furniture/DHP_Studio_Black_Convertible_Futon', 29.734436058026873)"
24,"(u'Ansel_Trestle_Table', 12.778808758993387)","('/home/wb/Documents/furniture/Black_Bonded_Leather_Reclining_Sofa', 1.3542555947766282)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 0.73773765278842074)","(u'Provo_Queen-size_with_Inner_Spring_Futon_Sofa_Sleeper_Bed', 5)","(u'ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 13.547435695527493)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 29.734436058026873)"
25,"(u'ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 11.831834302724996)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_Cocktail_Table', 1.3526966980645099)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 0.73773765278842074)","(u'Rouen_Bonded_Leather_Recliner_Motion_Living_Room_Set', 4)","(u'Provo_Queen-size_with_Inner_Spring_Futon_Sofa_Sleeper_Bed', 13.547435695527493)","('/home/wb/Documents/furniture/Provo_Queen-size_with_Inner_Spring_Futon_Sofa_Sleeper_Bed', 29.734436058026873)"
26,"(u'Portfolio_Taya_Basil_Grey_SoFast_Sofa', 11.599000344990277)","('/home/wb/Documents/furniture/Grace_Flower_Patterned_Fabric_Accent_Chair', 1.3469647308895922)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 0.69533420031746107)","(u'Baxton_Studio_Mid-Century_Masterpieces_Grey_Sofa', 4)","(u'Cora_Patterned_Fabric_Accent_Chair', 13.06923623078869)","('/home/wb/Documents/furniture/RECLINING_-_SOFA_BROWN_BONDED_LEATHER', 29.734436058026873)"
27,"(u'DHP_Emily_Grey_Linen_Convertible_Futon', 11.599000344990277)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_Lateral_File_in_Antique_Black', 1.3441687329381811)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 0.69322496291110514)","(u'INSPIRE_Q_Bento_Modern_Mini_Futon_Sofa_Bed', 4)","(u'Portfolio_Rockford_Green_Microsuede_SoFast_Sofa', 12.061208189613167)","('/home/wb/Documents/furniture/Ralston_Bonded_Leather_Reclining_Sofa', 29.734436058026873)"
28,"(u'Transitional_Burgundy_Reclining_Sofa', 11.439644154416527)","('/home/wb/Documents/furniture/Cora_Patterned_Fabric_Accent_Chair', 1.3414178708830462)","(u'DHP_Westwood_Mahogany_Wood_Convertible_Sofa_Sleeper', 0.69322496291110514)","(u'DHP_Studio_Black_Convertible_Futon', 4)","(u'Portfolio_Taya_Basil_Grey_SoFast_Sofa', 12.061208189613167)","('/home/wb/Documents/furniture/Safavieh_Cape_Cod_Black_Swivel_Storage_Accent_Table', 29.734436058026873)"
29,"(u'Christopher_Knight_Home_Alston_Click-Clack_Oversized_Convertible_2-piece_Sofa', 11.439644154416527)","('/home/wb/Documents/furniture/Simple_Living_Wing_Recliner', 1.3387110503687545)","(u'TRIBECCA_HOME_Knightsbridge_Tufted_Scroll_Arm_Chesterfield_Sofa', 0.69322496291110514)","(u'TRIBECCA_HOME_Eli_Rustic_Two-tone_Ladder_Back_Side_Chairs_(_Set_of_2)', 4)","(u'DHP_Emily_Grey_Linen_Convertible_Futon', 12.061208189613167)","('/home/wb/Documents/furniture/White_Reclining_Sofa', 29.734436058026873)"
