,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Kitchen_Storage_Trolley', 28.414880871287068)","('/home/wb/Documents/furniture/Hodedah_Kitchen_Island', 2.5222020771158666)","(u'Hodedah_Kitchen_Island', 1.531708068951654)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Classique_Espresso_Double-door_Floor_Cabinet_by_Elegant_Home_Fashions', 421.9670146137787)"
1,"(u'Simple_Living_Tall_Cabinet', 22.565413780695604)","('/home/wb/Documents/furniture/Kitchen_Storage_Trolley', 2.4025170336968067)","(u'Classique_Espresso_Double-door_Floor_Cabinet_by_Elegant_Home_Fashions', 1.3879332452555091)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Glass_2_Door_Tall_Cabinet_with_Drawer', 421.9670146137787)"
2,"(u'Classique_18-inch_White_Medicine_Cabinet_by_Elegant_Home_Fashions', 19.023489687487302)","('/home/wb/Documents/furniture/Classique_Espresso_Double-door_Floor_Cabinet_by_Elegant_Home_Fashions', 2.3330311513113386)","(u'Simple_Living_Glass_Sliding_Door_Stackable_Cabinet', 1.3362235362366892)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Hodedah_Kitchen_Island', 421.9670146137787)"
3,"(u'Yvette_2_Door_Floor_Cabinet_by_Elegant_Home_Fashions', 19.023489687487302)","('/home/wb/Documents/furniture/Simple_Living_Tall_Cabinet', 2.3274268860173852)","(u'Simple_Living_Sliding_Door_Stackable_Cabinet', 1.3362235362366892)","(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Kitchen_Storage_Trolley', 421.9670146137787)"
4,"(u'Cathay_Storage_Cabinet', 19.023489687487302)","('/home/wb/Documents/furniture/Furniture_of_America_Clarks_Farmhouse_Style_Dining_Table', 2.2870909743126742)","(u'Glass_2_Door_Tall_Cabinet_with_Drawer', 1.2695523003125808)","(u'Shaker_Series_48-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_48-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Simple_Living_Glass_Sliding_Door_Stackable_Cabinet', 421.9670146137787)"
5,"(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Montego_Black_Wooden_Buffet', 2.2639128499841581)","(u'Simple_Living_Montego_Black_Wooden_Buffet', 1.2695523003125808)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Simple_Living_Montego_Black_Wooden_Buffet', 421.9670146137787)"
6,"(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Layla_Black_Buffet', 2.201583158943528)","(u'Simple_Living_Portland_Tall_Cabinet', 1.1773811787106023)","(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Simple_Living_Sliding_Door_Stackable_Cabinet', 421.9670146137787)"
7,"(u'Shaker_Series_48-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Glass_2_Door_Tall_Cabinet_with_Drawer', 2.1978833463096401)","(u'Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server', 1.1773811787106023)","(u'Shaker_Series_30-inch_Natural_Finish_6-inch_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_6-inch_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Simple_Living_Tall_Cabinet', 421.9670146137787)"
8,"(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Glass_Sliding_Door_Stackable_Cabinet', 2.1282190349450345)","(u'Lauren_Modern_and_Contemporary_Two-tone_Buffet', 1.1773811787106023)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Furniture_of_America_Clarks_Farmhouse_Style_Dining_Table', 82.599999999999994)"
9,"(u'Shaker_Series_30-inch_Natural_Finish_6-inch_Open_Shelf_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Sliding_Door_Stackable_Cabinet', 2.1282190349450345)","(u'Upton_Home_Cherry_Window_Pane_Media_Cabinet', 1.0198914490724333)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Lauren_Modern_and_Contemporary_Two-tone_Buffet', 82.599999999999994)"
10,"(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Signature_Design_by_Ashley_Ralene_Rectangular_Butterfly_Extension_Dining_Table', 2.029332619019915)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Signature_Design_by_Ashley_Ralene_Rectangular_Butterfly_Extension_Dining_Table', 82.599999999999994)"
11,"(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Lauren_Modern_and_Contemporary_Two-tone_Buffet', 2.0200413191990116)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 0.78684642517717307)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Simple_Living_Layla_Black_Buffet', 82.599999999999994)"
12,"(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/South_Shore_Fiesta_Microwave_Cart_with_Storage_on_Wheels', 1.8258416345073141)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 0.78684642517717307)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/South_Shore_Fiesta_Microwave_Cart_with_Storage_on_Wheels', 82.599999999999994)"
13,"(u'42-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Brown_Wood_Wall_Cabinet', 1.5732723996067324)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 9)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Altra_Heartland_Cabinetry_Keystone_30-inch_Short_Wall_Cabinet_W3015', 48.85405816871792)"
