,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Cosmo_Oversize_Accent_Chair', 29.315125430680187)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Motion_Loveseat', 2.2633911625667293)","(u'Cosco_Resin_Folding_Chair_4_Pack', 1.3758933836910439)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 17)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 28.528548257144493)","('/home/wb/Documents/furniture/Cosmo_Oversize_Accent_Chair', 841.47598477795373)"
1,"(u'Bush_Furniture_Birmingham_Lateral_File_in_Antique_Black', 19.385063798260724)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Motion_Sofa', 2.2120508956255138)","(u'Furniture_of_America_Herman_Industrial_Antique_Black_Display_Shelf', 1.2952668759755315)","(u'Cora_Patterned_Fabric_Accent_Chair', 11)","(u'Cora_Patterned_Fabric_Accent_Chair', 23.475664548724797)","('/home/wb/Documents/furniture/Baxton_Studio_Lefteris_Modern_Contemporary_Fabric_Nailheads_Trimmed_Arched_Back_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 224.85521117713188)"
2,"(u'Baxton_Studio_Hypatia_Mid-century_Modern_Grey_Fabric_Walnut_Wood_Button-tufted_Accent_Chair_(Set_of_2)', 19.383010092208686)","('/home/wb/Documents/furniture/Cosmo_Oversize_Accent_Chair', 2.1772035904714757)","(u'INSPIRE_Q_Elston_Linen_Sloped_Track_Arm_Chair', 1.2924840260849153)","(u'Extra-Wide_18-inch_Premium_American_Oak_Directors_Chair', 10)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 23.134225149358066)","('/home/wb/Documents/furniture/Baxton_Studio_Hypatia_Mid-century_Modern_Grey_Fabric_Walnut_Wood_Button-tufted_Accent_Chair_(Set_of_2)', 164.71883805011845)"
3,"(u'DarLiving_Honeycomb_Folding_Chair_(Set_of_2)', 18.472049216986779)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Recliner', 2.0576352046590176)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 1.2924840260849153)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 10)","(u'ProLounger_Lya_Brown_Renu_Leather_Power_Recline_and_Lift_Wall_Hugger_Chair', 21.12435653104265)","('/home/wb/Documents/furniture/Simple_Living_Slat_Espresso_Rubberwood_Dining_Chairs_(Set_of_4)', 164.71883805011845)"
4,"(u'NPS_Reinforced_Fan-back_Polyfold_Chairs_(Pack_of_12)', 18.005049828950128)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_Lateral_File_in_Antique_Black', 2.044042017521678)","(u'Cora_Patterned_Fabric_Accent_Chair', 1.2906588495862146)","(u'ProLounger_Lya_Brown_Renu_Leather_Power_Recline_and_Lift_Wall_Hugger_Chair', 10)","(u'Cosmo_Oversize_Accent_Chair', 19.734118600228307)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Tess_Wingback_Tufted_Linen_Upholstered_Club_Chair', 164.71883805011845)"
5,"(u'Cora_Patterned_Fabric_Accent_Chair', 17.945846686977927)","('/home/wb/Documents/furniture/Baxton_Studio_Hypatia_Mid-century_Modern_Grey_Fabric_Walnut_Wood_Button-tufted_Accent_Chair_(Set_of_2)', 1.9673107695358485)","(u'Furniture_of_America_Posille_Contemporary_2-piece_Fabric_Sectional_and_Chair_Set', 1.2384134379247347)","(u'Simple_Living_Portland_Tall_Cabinet', 9)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 19.081179305691144)","('/home/wb/Documents/furniture/Tucker_Charcoal_Grey_Recliner', 164.71883805011845)"
6,"(u'Mod_Made_Paris_Tower_Side_Chair_Wood_Leg_(Set_of_2)', 17.502992231001222)","('/home/wb/Documents/furniture/Sunny_Deigns_Sedona_Extension_Table_with_Slate_Top', 1.9313040259690142)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 1.236279421655162)","(u'Luxury_Bath_Accessory_Collection_Set', 8)","(u'Extra-Wide_18-inch_Premium_American_Oak_Directors_Chair', 17.04884107441335)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Darvis_Light_Beige_Fabric_Recliner_Club_Chair', 150.48268541557283)"
7,"(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 17.195756556607577)","('/home/wb/Documents/furniture/HomePop_Ink_Navy_Swoop_Arm_Velvet_Accent_Chair', 1.8681738986588567)","(u'Luxenberg_Mid_Century_Modern_Barrel_Back_Design_Yellow_Accent_Chair_with_Nailhead_Trim', 1.1954275318728422)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 8)","(u'Christopher_Knight_Home_Darvis_Black_Bonded_Leather_Recliner_Club_Chair', 16.808771458900136)","('/home/wb/Documents/furniture/HomePop_Suzani_Parson_Dining_Chair_(Set_of_2)', 150.48268541557283)"
8,"(u'Christopher_Knight_Home_Hawthorne_PU_Leather_Glider_Recliner_Club_Chair', 17.12644903253954)","('/home/wb/Documents/furniture/Winslow_White_Wall_Mounted_AV_Entertainment_Console', 1.8535605746604848)","(u'South_Shore_Pure_Black_Axess_5-shelf_Narrow_Bookcase', 1.1539319340791077)","(u'Furniture_of_America_Posille_Contemporary_2-piece_Fabric_Sectional_and_Chair_Set', 8)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 16.62850150415548)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Henry_Wingback_Nailhead_Upholstered_Club_Chair_with_Pillow', 150.48268541557283)"
9,"(u'Simple_Living_Addin_Recliner', 16.454638241392765)","('/home/wb/Documents/furniture/Blanche_Modern_White_Molded_Plastic_Dining_Chairs_(Set_of_2)', 1.8359753474714708)","(u'Extra-Wide_18-inch_Premium_American_Oak_Directors_Chair', 1.1230926890932)","(u'INSPIRE_Q_Elston_Linen_Sloped_Track_Arm_Chair', 8)","(u'INSPIRE_Q_Elston_Linen_Sloped_Track_Arm_Chair', 16.62850150415548)","('/home/wb/Documents/furniture/Vintage_Tabouret_Stacking_Chairs_(Set_of_4)', 150.48268541557283)"
10,"(u'Christopher_Knight_Home_Bernstein_Fabric_Club_Chair', 16.454638241392765)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_End_Table', 1.8346251127765547)","(u'TRIBECCA_HOME_Eli_Rustic_Two-tone_Ladder_Back_Side_Chairs_(_Set_of_2)', 1.1023435656593705)","(u'TRIBECCA_HOME_Eli_Rustic_Two-tone_Ladder_Back_Side_Chairs_(_Set_of_2)', 8)","(u'TRIBECCA_HOME_Eli_Rustic_Two-tone_Ladder_Back_Side_Chairs_(_Set_of_2)', 16.36596227567989)","('/home/wb/Documents/furniture/Altra_Mobile_Computer_Desk_Cart', 142.08642178677658)"
11,"(u'NPS_Reinforced_Fan-back_Polyfold_Chairs_(Pack_of_4)', 16.287882978402941)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Crown_Fabric_Off-white_Dining_Chairs_(Set_of_2)', 1.8214809022300715)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 1.0969105689706038)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 8)","(u'Furniture_of_America_Herman_Industrial_Antique_Black_Display_Shelf', 15.349050171909383)","('/home/wb/Documents/furniture/Baxton_Studio_Paraskeve_Modern_and_Contemporary_Fabric_Curved_Notched_Corners_Sofa_Twin_Daybed_with_roll-out_Trundle_Guest_Bed', 142.08642178677658)"
12,"(u'Safavieh_Gramercy_Indigo_Floral_Motif_Armless_Club_Chair', 15.361579353058929)","('/home/wb/Documents/furniture/DarLiving_Honeycomb_Folding_Chair_(Set_of_2)', 1.796532470501333)","(u'INSPIRE_Q_Draper_Armless_Print_Fabric_Accent_Chair', 1.0919392227149127)","(u'Christopher_Knight_Home_Darvis_Black_Bonded_Leather_Recliner_Club_Chair', 8)","(u'Porthos_Home_Isabella_Office_Chair', 15.292683410884855)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_Lateral_File_in_Antique_Black', 129.80632066538865)"
13,"(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 15.13555654395816)","('/home/wb/Documents/furniture/Kosas_Home_Hamshire_82-inch_Dining_Table', 1.792215885399538)","(u'Porthos_Home_Isabella_Office_Chair', 1.0759442732052877)","(u'Portfolio_Kenyon_Valley_Cream_Wicker_9-piece_IndoorOutdoor_Living_Dining_Room_Set', 8)","(u'Furniture_of_America_Posille_Contemporary_2-piece_Fabric_Sectional_and_Chair_Set', 14.95865010584781)","('/home/wb/Documents/furniture/Furniture_of_America_Herman_Industrial_Antique_Black_Display_Shelf', 129.80632066538865)"
