,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 24.340216666005443)","('/home/wb/Documents/furniture/Altra_Princeton_Lateral_File', 4.7280605737232229)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 1.2400321369073053)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 8)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 22.185976541898718)","('/home/wb/Documents/furniture/Altra_Princeton_Lateral_File', 974.33333333333337)"
1,"(u'Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 21.49472811473931)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 1.6531089370581116)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 1.0104527423180356)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 8)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 22.026576720319117)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Black_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 29.734436058026873)"
2,"(u'Altra_Princeton_Lateral_File', 19.276975765920557)","('/home/wb/Documents/furniture/South_Shore_Morgan_Storage_Cabinet', 1.5711384322678241)","(u'ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 1.0104527423180356)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 8)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 21.548377255580313)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 29.734436058026873)"
3,"(u'White_Reclining_Sofa', 18.350150060227293)","('/home/wb/Documents/furniture/Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 1.5463898654399513)","(u'ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 0.93709141825927433)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 7)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 18.934530009422573)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Marquee_Black_Convertible_Sofa', 29.734436058026873)"
4,"(u'Ralston_Bonded_Leather_Reclining_Sofa', 16.930867843670242)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 1.546248732682876)","(u'ABBYSON_LIVING_Aspen_Black_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 0.91266076419517805)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 7)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 18.934530009422573)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 29.734436058026873)"
5,"(u'Meridian_Gramercy_Reclining_Sofa_with_Plush_Pillow_Arms', 16.930867843670242)","('/home/wb/Documents/furniture/Yaletown_Black_Wall-mounted_Buffet', 1.4970210764462746)","(u'10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 0.91266076419517805)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 6)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 16.639482406424037)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 29.734436058026873)"
6,"(u'Baxton_Studio_Mid-Century_Masterpieces_Grey_Sofa', 13.558096775604774)","('/home/wb/Documents/furniture/White_Reclining_Sofa', 1.4202990177971366)","(u'DHP_Studio_Black_Convertible_Futon', 0.86635438119609165)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 6)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 16.639482406424037)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 29.734436058026873)"
7,"(u'Christopher_Knight_Home_Vicenza_Two_Seat_Sofa_Sleeper', 13.558096775604774)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Black_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 1.408529014282456)","(u'Rouen_Bonded_Leather_Recliner_Motion_Living_Room_Set', 0.86635438119609165)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 6)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 16.639482406424037)","('/home/wb/Documents/furniture/Baxton_Studio_Lefteris_Modern_Contemporary_Fabric_Nailheads_Trimmed_Arched_Back_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 29.734436058026873)"
8,"(u'Christopher_Knight_Home_Canterbury_3-piece_Fabric_Sectional_Sofa_Set', 13.558096775604774)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Knightsbridge_Tufted_Scroll_Arm_Chesterfield_Sofa', 1.3975644346956226)","(u'DHP_Emily_Chaise_Lounger', 0.85194599775047952)","(u'Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 6)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 16.639482406424037)","('/home/wb/Documents/furniture/Baxton_Studio_Paraskeve_Modern_and_Contemporary_Fabric_Curved_Notched_Corners_Sofa_Twin_Daybed_with_roll-out_Trundle_Guest_Bed', 29.734436058026873)"
9,"(u'Jacksonville_Mocha_Fabric_Futon_Sofa_Bed', 13.558096775604774)","('/home/wb/Documents/furniture/Finn_Tall_Bookcase', 1.3915596140469328)","(u'ABBYSON_LIVING_Marquee_Black_Convertible_Sofa', 0.7685624030732342)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 6)","(u'Baxton_Studio_Sofia_Modern_Contemporary_Beige_or_Grey_Fabric_Nailheads_Trimmed_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 16.48008258484444)","('/home/wb/Documents/furniture/Baxton_Studio_Sofia_Modern_Contemporary_Beige_or_Grey_Fabric_Nailheads_Trimmed_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 29.734436058026873)"
10,"(u'Lewis_Wood_Sofa_Table', 13.558096775604774)","('/home/wb/Documents/furniture/Hand-painted_Black_Gold_Accent_Chest', 1.3915596140469328)","(u'Baxton_Studio_Noonan_Contemporary_Grey_Fabric_Upholstered_Sofa_With_Button_Tufting_And_Nail_Head_Trim_And_Wood_Legs', 0.7685624030732342)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 6)","(u'Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 16.00188312010563)","('/home/wb/Documents/furniture/Bennett_Black_Leather_Reclining_Sofa', 29.734436058026873)"
11,"(u'Serta_RTA_Santa_Cruz_Collection_73-inch_Platinum_Fabric_Sofa', 13.558096775604774)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 1.3834269392100074)","(u'Lexington_Microfiber_Suede_Inner_Spring_Queen-size_Futon_Sofa_Bed_Sleeper', 0.7685624030732342)","(u'Baxton_Studio_Sofia_Modern_Contemporary_Beige_or_Grey_Fabric_Nailheads_Trimmed_Sofa_Twin_Daybed_with_Roll-out_Trundle_Guest_Bed', 6)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 15.683083476946429)","('/home/wb/Documents/furniture/Black_Bonded_Leather_Reclining_Sofa', 29.734436058026873)"
12,"(u'Patrick_Tufted_Premium_Linen_Sofa', 13.558096775604774)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 1.3743133233551681)","(u'RECLINING_-_SOFA_BROWN_BONDED_LEATHER', 0.7685624030732342)","(u'White_Reclining_Sofa', 5)","(u'Modern_Twine_Curved-arm_Sofa', 13.8662353386867)","('/home/wb/Documents/furniture/Bryant_Home_Power_Reclining_Sofa', 29.734436058026873)"
13,"(u'Baxton_Studio_Eris_Black_or_White_Faux_Leather_Button-tufting_Sofa_Twin_Daybed_with_Roll-out_Trundle_Bed', 13.507972640368443)","('/home/wb/Documents/furniture/Sunny_Designs_Black_Open_Shelving_Unit', 1.358623294670166)","(u'Bryant_Home_Power_Reclining_Sofa', 0.7685624030732342)","(u'Modern_Twine_Curved-arm_Sofa', 5)","(u'Select_Luxury_Queen-Size_New_Life_4.5-inch_Memory_Foam_Sofa_Bed_Sleeper_Mattress', 13.8662353386867)","('/home/wb/Documents/furniture/DHP_Studio_Black_Convertible_Futon', 29.734436058026873)"
14,"(u'ABBYSON_LIVING_Signature_Convertible_Sofa', 13.507972640368443)","('/home/wb/Documents/furniture/Black_Bonded_Leather_Reclining_Sofa', 1.3542555947766282)","(u'TRIBECCA_HOME_Myra_Vintage_Industrial_TV_Stand', 0.75977487614850103)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 5)","(u'Serta_RTA_Natori_Collection_Tahara_Beige_73-inch_Sofa_', 13.8662353386867)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 29.734436058026873)"
15,"(u'Madison_Reclining_Sofa_and_Loveseat_Set', 13.299234778776109)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_Cocktail_Table', 1.3526966980645099)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 0.73773765278842074)","(u'Select_Luxury_Queen-Size_New_Life_4.5-inch_Memory_Foam_Sofa_Bed_Sleeper_Mattress', 5)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 13.8662353386867)","('/home/wb/Documents/furniture/Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 29.734436058026873)"
16,"(u'Finn_Tall_Bookcase', 12.778808758993387)","('/home/wb/Documents/furniture/Grace_Flower_Patterned_Fabric_Accent_Chair', 1.3469647308895922)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 0.73773765278842074)","(u'Serta_RTA_Natori_Collection_Tahara_Beige_73-inch_Sofa_', 5)","(u'DHP_Westwood_Mahogany_Wood_Convertible_Sofa_Sleeper', 13.8662353386867)","('/home/wb/Documents/furniture/Provo_Queen-size_with_Inner_Spring_Futon_Sofa_Sleeper_Bed', 29.734436058026873)"
