,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Portfolio_Hana_Barley_Tan_Trellis_Wingback_Chair_and_Ottoman_Set', 10.989867843501974)","('/home/wb/Documents/furniture/Reclaimed_Teak_Chair_Set_(India)', 1.326776958518417)","(u'Christopher_Knight_Home_Darvis_Black_Bonded_Leather_Recliner_Club_Chair', 0.59799243518516931)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 7)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 15.7354925941051)","(""/home/wb/Documents/furniture/'S'_Panton_Style_Small_White_Chair"", 3.7423014586709886)"
1,"(u'Cosmo_Oversize_Accent_Chair', 10.989867843501974)","('/home/wb/Documents/furniture/Anti-brown_Leather_Butterfly_Chair', 1.2401695883974064)","(u'Quilted_Mustard_Yellow_Upholstery_Armless_Chair', 0.59799243518516931)","(u'Christopher_Knight_Home_Darvis_Black_Bonded_Leather_Recliner_Club_Chair', 6)","(u'Christopher_Knight_Home_Darvis_Black_Bonded_Leather_Recliner_Club_Chair', 13.487565080661515)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Fulton_Beige_Velvet_Fabric_Tufted_Armchair', 3.7423014586709886)"
2,"(u'Mid-century_Blue_Linen_Wing_Chair_', 10.989867843501974)","('/home/wb/Documents/furniture/Button-tufted_White_Parsons_Chair_(Set_of_2)', 1.2376545986888778)","(u'INSPIRE_Q_Olivia_Bonded_Leather_Swivel_Recliner_Chair_with_Ottoman', 0.56191151710301723)","(u'ProLounger_Lya_Brown_Renu_Leather_Power_Recline_and_Lift_Wall_Hugger_Chair', 6)","(u'ProLounger_Lya_Brown_Renu_Leather_Power_Recline_and_Lift_Wall_Hugger_Chair', 13.487565080661515)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Sara_Gold_Chevron_Swoop_Dining_Chair', 3.7423014586709886)"
3,"(u'NPS_Reinforced_Fan-back_Polyfold_Chairs_(Pack_of_12)', 10.989867843501974)","('/home/wb/Documents/furniture/HomePop_Blue_Slate_Large_Accent_Chair_', 1.2310035402608654)","(u'Christopher_Knight_Home_Malone_Charcoal_Grey_Club_Chair', 0.56191151710301723)","(u'Quilted_Mustard_Yellow_Upholstery_Armless_Chair', 6)","(u'Quilted_Mustard_Yellow_Upholstery_Armless_Chair', 13.487565080661515)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Tuscan_Premium_Italian_Leather_Sofa', 3.7423014586709886)"
4,"(u'Dexter_Navy_Armless_Chair', 10.989867843501974)","('/home/wb/Documents/furniture/HomePop_Teal_Chunky_Textured_Accent_Chair', 1.2310035402608654)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 0.56191151710301723)","(u'INSPIRE_Q_Olivia_Bonded_Leather_Swivel_Recliner_Chair_with_Ottoman', 5)","(u'INSPIRE_Q_Olivia_Bonded_Leather_Swivel_Recliner_Chair_with_Ottoman', 11.239637567217928)","('/home/wb/Documents/furniture/Aberly_Accent_Chair', 3.7423014586709886)"
5,"(u""Cortesi_Home_'Chicco'_Blue_Armless_Accent_Chair"", 9.2727009929547908)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Malone_Charcoal_Grey_Club_Chair', 1.2192913207566558)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 0.51744079380943719)","(u'Christopher_Knight_Home_Malone_Charcoal_Grey_Club_Chair', 5)","(u'Christopher_Knight_Home_Malone_Charcoal_Grey_Club_Chair', 11.239637567217928)","('/home/wb/Documents/furniture/Able_Accent_Chair', 3.7423014586709886)"
6,"(u'Baxton_Studio_Hypatia_Mid-century_Modern_Grey_Fabric_Walnut_Wood_Button-tufted_Accent_Chair_(Set_of_2)', 9.2727009929547908)","('/home/wb/Documents/furniture/Gabir_Accent_Chair', 1.2171943121654354)","(u'Eames_Style_White_Molded_Plastic_Side_Chair', 0.51744079380943719)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 5)","(u'Shermag_Bonded_Leather_Occasional_Armchair', 11.239637567217928)","('/home/wb/Documents/furniture/Acacia_Hardwood_Sky_Blue,_Mint_Green,_Bard_Red_Folding_Chairs_(Set_of_2)', 3.7423014586709886)"
7,"(u'Cortesi_Home_Chicco_Script_Armless_Accent_Chair', 9.2727009929547908)","('/home/wb/Documents/furniture/NPS_Reinforced_Fan-back_Polyfold_Chairs_(Pack_of_4)', 1.2091939691590743)","(u'HomePop_Teal_Chunky_Textured_Accent_Chair', 0.51744079380943719)","(u'HomePop_Blue_Slate_Large_Accent_Chair_', 4)","(u'HomePop_Blue_Slate_Large_Accent_Chair_', 8.991710053774343)","('/home/wb/Documents/furniture/Alexander_Mid-Century_Living_Room_Collection_with_Tufted_Design', 3.7423014586709886)"
8,"(u'Hercules_Series_1000-pound_Capacity_Red_Mahogany_Resin_Folding_Chair_with_Black_Vinyl_Padded_Seat', 9.2727009929547908)","('/home/wb/Documents/furniture/Grayson_Rust_Accent_Chair', 1.2054115822490368)","(u'Extra-Wide_18-inch_Premium_American_Oak_Directors_Chair', 0.51744079380943719)","(u'Portfolio_Hana_Barley_Tan_Trellis_Wingback_Chair_and_Ottoman_Set', 4)","(u'Portfolio_Hana_Barley_Tan_Trellis_Wingback_Chair_and_Ottoman_Set', 8.991710053774343)","('/home/wb/Documents/furniture/Alice_Fabric_Accent_Chair', 3.7423014586709886)"
9,"(u'NPS_Reinforced_Fan-back_Polyfold_Chairs_(Pack_of_4)', 9.2727009929547908)","(""/home/wb/Documents/furniture/Cortesi_Home_'Chicco'_Blue_Armless_Accent_Chair"", 1.2035713959961638)","(u'Portfolio_Niles_Beige_Retro_Dot_Armless_Chair', 0.51744079380943719)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 4)","(u'Safavieh_Carson_Grey_Wash_Acacia_Wood_4-piece_Outdoor_Furniture_Set', 8.991710053774343)","('/home/wb/Documents/furniture/Anna_Grey_White_Chevron_Accent_Chair', 3.7423014586709886)"
