,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Stamford_Recliner_Sofa_and_Love_Seat', 24.829552899541245)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 1.6340164865231022)","(u'Reginald_Charme_Russet_Leather_Sofa', 1.3223274173857456)","(u'Reginald_Charme_Russet_Leather_Sofa', 10)","(u'Reginald_Charme_Russet_Leather_Sofa', 28.984506562813323)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Black_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 38.41538461538461)"
1,"(u'Troy_Recliner_Sofa', 23.524869312263014)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Motion_Sofa', 1.6221190634969813)","(u'Moser_Bay_Furniture_Garcia_Beige_Hand-tufted_Rolled_Arms_Sofa', 1.312748794601404)","(u'Moser_Bay_Furniture_Garcia_Beige_Hand-tufted_Rolled_Arms_Sofa', 8)","(u'Moser_Bay_Furniture_Garcia_Beige_Hand-tufted_Rolled_Arms_Sofa', 22.81199448461868)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Ivory_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 38.41538461538461)"
2,"(u'Diamond_White_Bonded_Leather_Sleeper_Sofa', 23.524869312263014)","('/home/wb/Documents/furniture/_Luca_Home_Cappuccino_Italian_Leather_Loveseat', 1.6013128738973599)","(u'Hamilton_Ivory_Italian_Leather_Sofa_and_Loveseat', 1.2420117575382212)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 8)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 22.4989855132587)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Red_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 38.41538461538461)"
3,"(u'Leonardo_White_Leather_Sofa', 21.197919834647109)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Taupe_Faux_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 1.5817399563388483)","(u'DHP_Dillan_Vanilla_Faux_Leather_Convertible_Futon', 1.2420117575382212)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 8)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 22.342481027578707)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Taupe_Faux_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 38.41538461538461)"
4,"(u'Furniture_of_America_Hurshel_Grey_Faux_Leather_Reclining_Sofa', 20.801144513592412)","('/home/wb/Documents/furniture/LYKE_Home_Ramos_Cream_Reclining_Sofa', 1.5660090504163153)","(u'Moser_Bay_Furniture_6_Seat_Sectional_Sofa_Set', 1.2420117575382212)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 8)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 22.185976541898718)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 38.41538461538461)"
5,"(u'Bryant_Dual_Reclining_Sofa', 20.801144513592412)","('/home/wb/Documents/furniture/Ralston_Bonded_Leather_Reclining_Sofa_and_Loveseat_Set', 1.5434824818761277)","(u'INSPIRE_Q_Bento_Modern_Mini_Futon_Sofa_Bed', 1.2380198075483011)","(u'DHP_Dillan_Vanilla_Faux_Leather_Convertible_Futon', 7)","(u'Stamford_Recliner_Sofa_and_Love_Seat', 20.19525190256133)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Brownstone_Premium_Top-grain_Leather_Reclining_Sofa', 38.41538461538461)"
6,"(u'Baxton_Studio_Eris_Black_or_White_Faux_Leather_Button-tufting_Sofa_Twin_Daybed_with_Roll-out_Trundle_Bed', 20.801144513592412)","('/home/wb/Documents/furniture/Brown_Bonded_Leather_Double_Recliner_with_Table_Console', 1.5353879686212804)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 1.2380198075483011)","(u'Hamilton_Ivory_Italian_Leather_Sofa_and_Loveseat', 7)","(u'DHP_Dillan_Vanilla_Faux_Leather_Convertible_Futon', 20.038747416881343)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Marquee_Black_Convertible_Sofa', 38.41538461538461)"
7,"(u'Reginald_Charme_Russet_Leather_Sofa', 19.407516107558742)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Brownstone_Premium_Top-grain_Leather_Reclining_Sofa', 1.525388178728347)","(u'Memphis_Sand_Double_Cushion_Futon_Sofa_Bed_', 1.23408487372849)","(u'INSPIRE_Q_Bento_Modern_Mini_Futon_Sofa_Bed', 7)","(u'Hamilton_Ivory_Italian_Leather_Sofa_and_Loveseat', 20.038747416881343)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 38.41538461538461)"
8,"(u'Moser_Bay_Furniture_Garcia_Beige_Hand-tufted_Rolled_Arms_Sofa', 17.92370995220039)","('/home/wb/Documents/furniture/Diamond_White_Bonded_Leather_Sleeper_Sofa', 1.4905592591419214)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 1.1895721838511744)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 7)","(u'Moser_Bay_Furniture_6_Seat_Sectional_Sofa_Set', 20.038747416881343)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Tuscan_Premium_Italian_Leather_Sofa', 38.41538461538461)"
9,"(u'Meridian_Gramercy_Reclining_Sofa_with_Plush_Pillow_Arms', 17.92370995220039)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Red_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 1.462072815098244)","(u'Furniture_of_America_Peyton_2-piece_Sofa_Sofa_Bed_and_Chair_Set', 1.1672827704851185)","(u'Stamford_Recliner_Sofa_and_Love_Seat', 7)","(u'INSPIRE_Q_Bento_Modern_Mini_Futon_Sofa_Bed', 19.88224293120135)","('/home/wb/Documents/furniture/Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 38.41538461538461)"
10,"(u'Somette_Bonded_Leather_Beli_Mont_Multi-Flex_Espresso_Futon_Frame_and_Mattress_Set', 17.92370995220039)","('/home/wb/Documents/furniture/LYKE_Home_Daryl_Cream_Motion_Loveseat', 1.4065168803831334)","(u'Ralston_Bonded_Leather_Reclining_Sofa_and_Loveseat_Set', 1.1672827704851185)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 7)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 19.88224293120135)","('/home/wb/Documents/furniture/Bennett_Black_Leather_Reclining_Sofa', 38.41538461538461)"
11,"(u'Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 17.92370995220039)","('/home/wb/Documents/furniture/Stamford_Recliner_Sofa_and_Love_Seat', 1.4027655503763903)","(u'Portfolio_Trace_Convert-a-Couch_Brown_Renu_Leather_Futon_Sofa_Sleeper', 1.1442197794153639)","(u'Moser_Bay_Furniture_6_Seat_Sectional_Sofa_Set', 7)","(u'ABBYSON_LIVING_Lexington_Convertible_Sofa', 19.725738445521362)","('/home/wb/Documents/furniture/Black_Bonded_Leather_Reclining_Sofa', 38.41538461538461)"
12,"(u'ABBYSON_LIVING_Aspen_Taupe_Faux_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 17.92370995220039)","('/home/wb/Documents/furniture/Villa_Faux_Leather_Red_Dining_Chairs_(Set_of_2)', 1.4023844753982566)","(u'Moser_Bay_Furniture_Roll_Arm_7_Seats_Sectional_Sofa_Set', 1.1442197794153639)","(u'ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 6)","(u'Leonardo_White_Leather_Sofa', 17.422004834823994)","('/home/wb/Documents/furniture/Bryant_Dual_Reclining_Sofa', 38.41538461538461)"
