,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Treasure_Trove_Accents_Joplin_Texture_Grey_Two_Door_Cabinet', 2.3980394765513697)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/18-inch_7.25-inch_deep_Ashley_Series_On_the_Wall_Cabinet_', 5.1085594989561587)"
1,"(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Bush_Furniture_Aero_2-door_Tall_Storage_Cabinet', 2.3289141342381274)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 0.78684642517717307)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/18-inch_Shaker_Series_On_the_Wall_Cabinet_', 5.1085594989561587)"
2,"(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Black_Two_Door_One_Drawer_Cabinet', 2.3210068622885043)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 0.78684642517717307)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 9)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/2-Day_Designs_Pine_Finished_Two-drawer_Chest', 5.1085594989561587)"
3,"(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Dark_Brown_and_Beige_Two_Door_Cabinet', 2.2831510474684311)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 0.78684642517717307)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 5.1085594989561587)"
4,"(u'Shaker_Series_18-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Jasper_2-door_Wall_Cabinet_by_Elegant_Home_Fashions', 2.2607120022576379)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 5.1085594989561587)"
5,"(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Design_House_Richland_Nutmeg_Oak_2-Door_Bathroom_Wall_Cabinet', 2.2435010278632785)","(u'Shaker_Series_30-inch_Natural_Finish_5.5-inch_Deep_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/30-inch_Allentown_Series_On_the_Wall_Cabinet_with_6-inch_Open_Shelf_3.5-inch_Deep_Inside', 5.1085594989561587)"
6,"(u'Shaker_Series_48-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Christopher_Knight_Home_Two_Door_Sideboard', 2.1940961907555825)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 0.78684642517717307)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/36-inch_Shaker_Series_On_the_Wall_Cabinet_2.5-inches_Deep', 5.1085594989561587)"
7,"(u'42-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Furniture_of_America_Studio_5-shelf_Red_Cocoa_Shoe_Cabinet', 2.1265831726000117)","(u'Simple_Living_Antique_White_Sliding_Door_Stackable_Cabinet', 0.76057323588827253)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/4-door_Wood_Storage_Cabinet', 5.1085594989561587)"
8,"(u'Shaker_Series_30-inch_Natural_Finish_6-inch_Open_Shelf_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Red_Montego_Buffet', 2.0930142734996182)","(u'30-inch_Allentown_Series_On_the_Wall_Cabinet_with_6-inch_Open_Shelf_3.5-inch_Deep_Inside', 0.69533420031746107)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/42-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 5.1085594989561587)"
9,"(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Windham_Wall_Cabinet_with_Two_Glass_Doors_by_Elegant_Home_Fashions', 2.0876327078531318)","(u'Ashley_Series_42-inch_Wood_Glass_Wall_Cabinet', 0.69533420031746107)","(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_24-inch_Natural_Finish_2.5-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 5.1085594989561587)"
