,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Ansel_Trestle_Table', 24.15252749428906)","('/home/wb/Documents/furniture/Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 1.8033552060058931)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 1.138763204023522)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 13)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 33.621567845064945)","('/home/wb/Documents/furniture/Black_Finish_Console_Sofa_Entry_Table_with_Drawer', 26.670717392054694)"
1,"(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 23.414894949214716)","('/home/wb/Documents/furniture/South_Shore_Morgan_Storage_Cabinet', 1.5711384322678241)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 1.0658417283196742)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 9)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 20.157704596247978)","('/home/wb/Documents/furniture/Cosco_Wood_X-Back_Folding_Chair_2_Pack', 26.670717392054694)"
2,"(u'Ansel_36_x_60_Trestle_Table', 23.338402461475567)","('/home/wb/Documents/furniture/Sacramento_Mid-Century_Solid_Wood_Dining_Table', 1.5228869360854973)","(u'Safavieh_Cape_Cod_Black_Swivel_Storage_Accent_Table', 1.0029492531201258)","(u'Mongolia_Mango_Wood_Dining_Table', 9)","(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 18.177448604775616)","('/home/wb/Documents/furniture/Enonville_Scalloped_3-Drawer_Console_Table', 26.670717392054694)"
3,"(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 23.338402461475567)","('/home/wb/Documents/furniture/Yaletown_Black_Wall-mounted_Buffet', 1.4970210764462746)","(u'Cosco_Wood_X-Back_Folding_Chair_2_Pack', 0.91183144487395928)","(u'Sacramento_Mid-Century_Solid_Wood_Dining_Table', 9)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 17.752951057165202)","('/home/wb/Documents/furniture/Simple_Living_Layla_Black_Buffet', 26.670717392054694)"
4,"(u'Enonville_Scalloped_3-Drawer_Console_Table', 20.771231058999216)","(""/home/wb/Documents/furniture/Kosas_Home_'Alicia'_72-inch_Sheesham_Wood_Dining_Table"", 1.4882041048772074)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 0.87066869582394568)","(u'TRIBECCA_HOME_Atelier_Traditional_French_Burnished_Brown_Pedestal_Extending_Dining_Table', 8)","(u'Ansel_Trestle_Table', 17.693209998000928)","('/home/wb/Documents/furniture/Solid_Pine_Industrial_Wood_Sideboard', 26.670717392054694)"
5,"(u'Simplify_Half_Round_Console', 20.771231058999216)","('/home/wb/Documents/furniture/TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_Cocktail_Table', 1.4409922816283474)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 0.86272255404745668)","(u'Elements_Cross-design_Reclaimed_Look_Coffee_Table', 8)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 17.573727879672376)","('/home/wb/Documents/furniture/WYNDENHALL_Norfolk_End_Table', 26.670717392054694)"
6,"(u'TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_Cocktail_Table', 19.588667223219993)","('/home/wb/Documents/furniture/Enonville_Scalloped_3-Drawer_Console_Table', 1.4336004972545662)","(u'Wood_Leg_White_Accent_Chairs_In_White_(Set_of_2)_-_(As_Is_Item)', 0.85642347530773999)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 8)","(u'Ansel_36_x_60_Trestle_Table', 16.628405678309402)","('/home/wb/Documents/furniture/Wood_Leg_White_Accent_Chairs_In_White_(Set_of_2)_-_(As_Is_Item)', 26.670717392054694)"
7,"(u'Distressed_Reclaimed-look_Black_Dining_Table', 18.873852443798672)","('/home/wb/Documents/furniture/Black_Finish_Console_Sofa_Entry_Table_with_Drawer', 1.4259053650785325)","(u'Furniture_of_America_Carpenter_Rustic_Weathered_Oak_Caster_Wheel_Coffee_Table', 0.85477674772449741)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 8)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 16.628405678309402)","('/home/wb/Documents/furniture/Cosco_Outdoor_Jamaica_4-piece_Resin_Wicker_Conversation_Set', 25.459221879255949)"
8,"(u'Black_Finish_Console_Sofa_Entry_Table_with_Drawer', 18.703606295126374)","('/home/wb/Documents/furniture/Idris_Solid_Sheesham_Wood_Console_Table_Dark_Sheesham', 1.4072441204198398)","(u'Furniture_of_America_Wakiaka_Unique_Pagoda_Coffee_Table', 0.85477674772449741)","(u'Kosas_Home_Alicia_Dining_Table_w_Extension_92-inch', 8)","(u'Altra_Round_Espresso_End_Table', 16.53879408956299)","('/home/wb/Documents/furniture/Danbury_Metal_Contoured_Upholstered_Dining_Chair_(Set_of_2)', 25.459221879255949)"
9,"(u'Mongolia_Mango_Wood_Dining_Table', 18.324910904415677)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 1.3942111785058513)","(u'Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 0.82761475761364112)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 8)","(u'Tokyo_Drop_Leaf_Rectangle_Dining_Table', 16.53879408956299)","('/home/wb/Documents/furniture/Distressed_Reclaimed-look_Black_Dining_Table', 25.459221879255949)"
10,"(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 18.117707545611342)","('/home/wb/Documents/furniture/Finn_Tall_Bookcase', 1.3915596140469328)","(u'Soho_Live_Edge_Dining_Table', 0.82124779488401256)","(u'Ansel_Trestle_Table', 8)","(u'Mongolia_Mango_Wood_Dining_Table', 15.510575816849338)","('/home/wb/Documents/furniture/Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 25.459221879255949)"
11,"(u'TRIBECCA_HOME_Atelier_Traditional_French_Burnished_Brown_Pedestal_Extending_Dining_Table', 17.692451366015497)","('/home/wb/Documents/furniture/Hand-painted_Black_Gold_Accent_Chest', 1.3915596140469328)","(u'Furniture_of_America_Briggs_Contemporary_Dark_Walnut_48-inch_Dining_Table', 0.82124779488401256)","(u'Solid_Pine_Industrial_Wood_Sideboard', 7)","(u'Soho_Live_Edge_Dining_Table', 14.989751163096777)","('/home/wb/Documents/furniture/Furniture_of_America_Marque_Functional_Black_Finish_Console_Table', 25.459221879255949)"
12,"(u'Kosas_Home_Alicia_Dining_Table_w_Extension_92-inch', 17.692451366015497)","('/home/wb/Documents/furniture/Bush_Furniture_Birmingham_Lateral_File_in_Antique_Black', 1.3880293802887342)","(u'Baxton_Studio_Rudd_Contemporary_Black_White_Shoe_Cabinet_With_2_Doors', 0.81349926795423211)","(u'Soho_Live_Edge_Dining_Table', 7)","(u'Furniture_of_America_Briggs_Contemporary_Dark_Walnut_48-inch_Dining_Table', 14.989751163096777)","('/home/wb/Documents/furniture/Greyson_Living_Monoco_48-inch_Round_Glass_Top_Table', 25.459221879255949)"
13,"(u'Furniture_of_America_Knox_Dark_Espresso_Storage_Box_Coffee_Table', 17.464520995795304)","('/home/wb/Documents/furniture/Simple_Living_Wing_Recliner', 1.3817692697074193)","(u'TRIBECCA_HOME_Benchwright_Rustic_Pine_Trestle_Reinforced_Concrete_Dining_Table', 0.80662349885311357)","(u'Christopher_Knight_Home_Clearwater_Multi-Colored_Wood_Dining_Table_(ONLY)_with_Leaf_Extension', 7)","(u'Furniture_of_America_Knox_Dark_Espresso_Storage_Box_Coffee_Table', 14.989751163096777)","('/home/wb/Documents/furniture/Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 25.459221879255949)"
14,"(u'Sacramento_Mid-Century_Solid_Wood_Dining_Table', 16.868506696530673)","('/home/wb/Documents/furniture/Maxon_3-tier_Shelf_Console_Table', 1.3816188489149899)","(u'Tokyo_Drop_Leaf_Rectangle_Dining_Table', 0.80566785689799481)","(u'Furniture_of_America_Briggs_Contemporary_Dark_Walnut_48-inch_Dining_Table', 7)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 14.505512556322088)","('/home/wb/Documents/furniture/Simple_Living_Slat_Black_Rubberwood_Dining_Chairs_(Set_of_4)', 25.459221879255949)"
15,"(u'Etlan_Black_1-Drawer_Corner_Table', 16.336018168590492)","('/home/wb/Documents/furniture/Cosco_Wood_X-Back_Folding_Chair_2_Pack', 1.3761187967719517)","(u'Altra_Round_Espresso_End_Table', 0.80566785689799481)","(u'Ansel_36_x_60_Trestle_Table', 7)","(u'TRIBECCA_HOME_Atelier_Traditional_French_Burnished_Brown_Pedestal_Extending_Dining_Table', 14.475642026739951)","('/home/wb/Documents/furniture/Wood_Leg_Accent_Chairs_(Set_of_2)', 25.459221879255949)"
16,"(u'Kosas_Home_Winfrey_Dining_Table', 16.336018168590492)","('/home/wb/Documents/furniture/Cosmo_Dining_Table_72_inch', 1.3687852251981716)","(u'Altra_5_Shelf_Bookcase', 0.77700478329817957)","(u'Baxton_Studio_Rudd_Contemporary_Black_White_Shoe_Cabinet_With_2_Doors', 7)","(u'Kosas_Home_Alicia_Dining_Table_w_Extension_92-inch', 14.475642026739951)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Aspen_Black_Leather_Foldable_Futon_Sleeper_Sofa_Bed', 5.3516540027553319)"
17,"(u'Cosmo_Dining_Table_72_inch', 15.88542411344355)","('/home/wb/Documents/furniture/Kosas_Home_Hamshire_Round_Dining_Table_60_inch', 1.367935109293513)","(u'Kosas_Home_Scotto_Dining_Table', 0.77012901419706103)","(u'Furniture_of_America_Clarks_Farmhouse_Style_Dining_Table', 7)","(u'Enonville_Scalloped_3-Drawer_Console_Table', 14.014558432151665)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 5.3516540027553319)"
18,"(u'Christopher_Knight_Home_Clearwater_Multi-Colored_Wood_Dining_Table_(ONLY)_with_Leaf_Extension', 15.7185802630758)","('/home/wb/Documents/furniture/WYNDENHALL_Norfolk_End_Table', 1.3676818378062814)","(u'Victoria_Reclaimed_Wood_Round_Dining_Table', 0.74071416863251427)","(u'Altra_Round_Espresso_End_Table', 7)","(u'Simplify_Half_Round_Console', 14.014558432151665)","('/home/wb/Documents/furniture/ABBYSON_LIVING_Signature_Convertible_Sofa', 5.3516540027553319)"
19,"(u'Furniture_of_America_Clarks_Farmhouse_Style_Dining_Table', 15.7185802630758)","('/home/wb/Documents/furniture/Kosas_Home_Alicia_Dining_Table_w_Extension_92-inch', 1.3649222301169066)","(u'Portland_Live_Edge_Honey_Finish_Dining_Table', 0.74071416863251427)","(u'Hand-painted_Distressed_Black_and_Antique_White_Finish_Accent_Table', 7)","(u'Sacramento_Mid-Century_Solid_Wood_Dining_Table', 13.961532890383124)","('/home/wb/Documents/furniture/Albany_Wood_Shoe_Storage_Cabinet_with_Mirror_In_Black', 5.3516540027553319)"
20,"(u'Cosco_6-foot_Center_Fold_Table', 15.450957240496873)","('/home/wb/Documents/furniture/Furniture_of_America_Marque_Functional_Black_Finish_Console_Table', 1.3622208785786154)","(u'Cosco_Outdoor_Jamaica_4-piece_Resin_Wicker_Conversation_Set', 0.73814367695071725)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 7)","(u'Baxton_Studio_Rudd_Contemporary_Black_White_Shoe_Cabinet_With_2_Doors', 13.560190354959113)","('/home/wb/Documents/furniture/Altra_5_Shelf_Bookcase', 5.3516540027553319)"
